source	target	status
CALD1	Contig47146_RC	non_indicated
CALD1	MCPH1	non_indicated
CALD1	RRAGD	non_indicated
Contig40234_RC	Contig46563_RC	non_indicated
Contig40234_RC	HSS00300718	non_indicated
FAM65C	VWCE	non_indicated
FAM65C	FAM65C	non_indicated
NPY1R	LIMCH1	non_indicated
NPY1R	MAP4K3	non_indicated
NPY1R	NPY5R	non_indicated
NPY1R	HNMT	non_indicated
NPY1R	OSGIN2	non_indicated
EEF1G	EEF1DP1	non_indicated
FBXO2	PSAPL1	non_indicated
FBXO2	C19orf33	non_indicated
FBXO2	TMEM125	non_indicated
FBXO2	COL17A1	non_indicated
FBXO2	WFDC2	non_indicated
WAPAL	PRPF40A	non_indicated
WAPAL	USP48	non_indicated
WAPAL	TCF4	non_indicated
WAPAL	RPS6KA3	non_indicated
WAPAL	RIT1	RASopathy_gene
IL1R1	CCDC80	non_indicated
IL1R1	SLC7A2	non_indicated
Contig30955_RC	Contig33579_RC	non_indicated
Contig30955_RC	Contig23128_RC	non_indicated
Contig30955_RC	Contig19918_RC	non_indicated
Contig30955_RC	RP11-262H14.4	non_indicated
BACH1	SNX10	non_indicated
BACH1	BAZ1A	non_indicated
BACH1	ETNK1	non_indicated
BACH1	RP5-1022P6.2	non_indicated
LDHA	EMP1	non_indicated
LDHA	ZNF790	non_indicated
Contig26641	NM_174950	non_indicated
JUNB	EGR3	non_indicated
JUNB	ZFP36	non_indicated
JUNB	CXCL2	non_indicated
JUNB	FOS	non_indicated
JUNB	ZC3H12A	non_indicated
JUNB	PLK3	non_indicated
JUNB	OSM	non_indicated
JUNB	AK096732	non_indicated
JUNB	IER3	non_indicated
CAV1	AF074993	non_indicated
ABCB1	ARHGEF3	non_indicated
ACTB	YWHAH	non_indicated
ACTB	hCT1833306.1	non_indicated
NM_014859	RORC	non_indicated
NM_014859	RAET1E	non_indicated
NM_014859	RTKN	non_indicated
NM_020217	TGFBR3	non_indicated
NM_020217	SPTBN1	non_indicated
NM_020217	Contig41774_RC	non_indicated
NM_020217	Contig20302_RC	non_indicated
NM_020217	AK057607	non_indicated
TSPAN7	CYTL1	non_indicated
TSPAN7	S1PR1	non_indicated
TSPAN7	HHEX	non_indicated
TSPAN7	JAM2	non_indicated
TSPAN7	SELP	non_indicated
TSPAN7	MRAP2	non_indicated
TSPAN7	C10orf136	non_indicated
RPLP1	UBA52	non_indicated
RPLP1	hCG_1818237	non_indicated
MIRN101-1	Contig50836_RC	non_indicated
MIRN101-1	HSS00014001	non_indicated
PRG4	SHISA3	non_indicated
PRG4	C8orf47	non_indicated
PRG4	CA389076	non_indicated
CD1C	IL1R2	non_indicated
CD1C	CD1B	non_indicated
CD1C	FCER1A	non_indicated
GPX3	Contig20603_RC	non_indicated
GPX3	CYP4B1	non_indicated
BDKRB1	KBTBD11	non_indicated
BDKRB1	TCERG1L	non_indicated
C18orf1	ITGA9	non_indicated
CDKN1C	C7orf13	non_indicated
DHRS9	HTR2B	non_indicated
MKL2	TRPM6	non_indicated
LIF	BDKRB1	non_indicated
LIF	hCT2273672	non_indicated
C12orf5	LACTB	non_indicated
Contig48769_RC	ENST00000296057	non_indicated
Contig48769_RC	NRK	non_indicated
DUSP8	CES2	non_indicated
ZNF507	MON2	non_indicated
SORBS1	TULP4	non_indicated
SORBS1	Contig55944_RC	non_indicated
SORBS1	KATNAL2	non_indicated
SORBS1	MYOM1	non_indicated
SORBS1	Contig50156_RC	non_indicated
SORBS1	CAT	non_indicated
SORBS1	DIXDC1	non_indicated
SORBS1	C2CD2	non_indicated
VPS13C	GOLGA8G	non_indicated
VPS13C	MYO5A	non_indicated
VPS13C	Contig575_RC	non_indicated
VPS13C	AK002123	non_indicated
VPS13C	RGPD4	non_indicated
VPS13C	AL137429	non_indicated
VPS13C	HSS00022884	non_indicated
VPS13C	HSS00325090	non_indicated
EZR	ERBB3	non_indicated
EZR	C11orf9	non_indicated
EZR	AK055146	non_indicated
EZR	KLK10	non_indicated
EZR	COBL	non_indicated
EZR	AF086394	non_indicated
MRC1	VNN1	non_indicated
MRC1	SESN1	non_indicated
MRC1	DAB2	non_indicated
MRC1	MYO5A	non_indicated
MRC1	FAM23B	non_indicated
MRC1	SEPP1	non_indicated
MRC1	CCDC141	non_indicated
MRC1	TLR4	non_indicated
CCDC80	Contig54847_RC	non_indicated
ASTN1	Contig32099_RC	non_indicated
ASTN1	CHGB	non_indicated
ASTN1	PODXL	non_indicated
ASTN1	TRIM17	non_indicated
CSTB	C13orf15	non_indicated
CSTB	AK054806	non_indicated
REC8	CCDC40	non_indicated
REC8	MMEL1	non_indicated
REC8	KLK10	non_indicated
REC8	LRRN4	non_indicated
REC8	RP4-691N24.1	non_indicated
REC8	COL8A1	non_indicated
REC8	ZNF556	non_indicated
REC8	FAM19A3	non_indicated
REC8	hCT1958566.1	non_indicated
REC8	DNAJC22	non_indicated
PCDH17	PCDH17	non_indicated
MAP4	CLTCL1	non_indicated
MAP4	AMFR	non_indicated
MAP4	MAN2A2	non_indicated
MAP4	AL109670	non_indicated
TNNT2	CTSL2	non_indicated
TNNT2	AK024999	non_indicated
TNNT2	SPANXA2	non_indicated
TNNT2	HSS00049515	non_indicated
TNNT2	SLC6A3	non_indicated
MCTP1	CYSLTR1	non_indicated
TPPP3	CREB5	non_indicated
TPPP3	TPPP	non_indicated
TPPP3	ENST00000255883	non_indicated
TPPP3	CRIP1	non_indicated
TPPP3	ODF3L1	non_indicated
TPPP3	GLIPR2	non_indicated
TPPP3	THBS3	non_indicated
COL4A4	COL4A3	non_indicated
COL4A4	COL4A4	non_indicated
IGLJ3	IGHG3	non_indicated
IGLJ3	IGLL1	non_indicated
Contig33579_RC	INADL	non_indicated
RPS19	Contig43135_RC	non_indicated
RPS19	CLEC11A	non_indicated
PTGDS	OMG	non_indicated
PTGDS	ABCB5	non_indicated
PTGDS	IGSF10	non_indicated
PTGDS	HSS00164486	non_indicated
PDLIM3	PRSS23	non_indicated
PDLIM3	MLF1	non_indicated
PDLIM3	TNFAIP8L3	non_indicated
COL5A2	FAT	non_indicated
COL5A2	SOBP	non_indicated
COL5A2	SPARC	non_indicated
COL5A2	MICALL1	non_indicated
COL5A2	MXRA5	non_indicated
LAMA2	MYOC	non_indicated
LAMA2	TMEM163	non_indicated
LAMA2	PCDH18	non_indicated
LAMA2	APOD	non_indicated
PTGS2	LIF	non_indicated
KLRC1	KLRC2	non_indicated
C8orf16	Contig29788_RC	non_indicated
C8orf16	C8orf15	non_indicated
C8orf16	AK057196	non_indicated
HRG	MBL2	non_indicated
