source	interaction_type	target	status
LOC100289019	bn	CATSPER2	non_indicated
LOC100289019	bn	LOC100506469	non_indicated
LOC100289019	bn	FLJ12334	non_indicated
LOC100289019	bn	ZFP14	non_indicated
LOC389634	bn	C1orf150	non_indicated
GIGYF2	bn	PSMA3	non_indicated
LOC401312	bn	C12orf42	non_indicated
NFE4	bn	FBXL13	non_indicated
LOC100506328	bn	CAMKK1	non_indicated
C17orf108	bn	FOXP1	non_indicated
ANKRD28	bn	RASEF	non_indicated
ANKRD28	bn	MGC70870	non_indicated
ANKRD28	bn	LOC100505915	non_indicated
CEPT1	bn	INPP4A	non_indicated
GVINP1	bn	LOC151657	non_indicated
CARD11	bn	ZAP70	non_indicated
CARD11	bn	LOC100170939	non_indicated
LOC339988	bn	LOC100505861	non_indicated
C1orf98	bn	LOC100291666	non_indicated
OSBP	bn	ARHGEF7	non_indicated
OSBP	bn	RREB1	non_indicated
OSBP	bn	GOLGA4	non_indicated
LOC100506733	bn	C10orf128	non_indicated
LOC100506030	bn	RAD50	non_indicated
LOC100506030	bn	DNAJC10	non_indicated
SLC25A45	bn	9-Sep	non_indicated
SLC25A45	bn	LOC100272216	non_indicated
SLC25A45	bn	RAB3IP	non_indicated
SLC25A45	bn	SFI1	non_indicated
TMEM67	bn	SPAG11A	non_indicated
TMEM67	bn	LCE1E	non_indicated
TMEM67	bn	CDR1	non_indicated
TMEM67	bn	POU4F1	non_indicated
TMEM67	bn	LINC00086	non_indicated
FCRL2	bn	LOC100507616	non_indicated
FCRL2	bn	FCRL1	non_indicated
PARP15	bn	LOC100506930	non_indicated
ZBED6	bn	ZC3H11A	non_indicated
RPS16P5	bn	TRIM38	non_indicated
RPS16P5	bn	HYMAI	non_indicated
RPS16P5	bn	RHOBTB3	non_indicated
LOC100507494	bn	NCLN	non_indicated
FLJ90757	bn	CPAMD8	non_indicated
PNN	bn	LOC100272228	non_indicated
PNN	bn	MSL3	non_indicated
CD74	bn	HLA-DPB1	non_indicated
CT45A1	bn	SLC9B1	non_indicated
CT45A1	bn	TIMM8A	non_indicated
CT45A1	bn	LOC100271836	non_indicated
CT45A1	bn	FLJ11292	non_indicated
CT45A1	bn	FRG1B	non_indicated
CT45A1	bn	POTEG	non_indicated
IRAK3	bn	NTNG2	non_indicated
NBR1	bn	PPP2R2A	non_indicated
ZNF836	bn	EP400NL	non_indicated
ZNF642	bn	SESN1	non_indicated
TRIM13	bn	BAGE2	non_indicated
TRIM13	bn	PSMD6	non_indicated
TRIM13	bn	PAPD4	non_indicated
TRIM13	bn	MINOS1P1	non_indicated
TRIM13	bn	FDPSL2A	non_indicated
TRIM13	bn	RUFY2	non_indicated
TRIM13	bn	USP34	non_indicated
TRIM13	bn	UVSSA	non_indicated
TRIM13	bn	NFYC	non_indicated
TRIM13	bn	SYK	non_indicated
SCML4	bn	GRAMD3	non_indicated
MIR4500HG	bn	TPTEP1	non_indicated
LOC692247	bn	WDR27	non_indicated
MLLT3	bn	SEC14L1P1	non_indicated
MLLT3	bn	NPCDR1	non_indicated
MLLT3	bn	MCM3AP-AS1	non_indicated
EME2	bn	EIF4A1	non_indicated
SLC6A16	bn	KIAA0754	non_indicated
RPL35	bn	HINT1	non_indicated
RPL35	bn	MRPS33	non_indicated
RPS5	bn	ITM2A	non_indicated
RPS5	bn	RPLP0	non_indicated
RPS5	bn	RPL35A	non_indicated
RPL34	bn	RPL31	non_indicated
RPL34	bn	RPL36A	non_indicated
RPL34	bn	RPL22L1	non_indicated
RPL34	bn	LOC100506365	non_indicated
