source target	status
TPBG PSMA4	non_indicated
PDZRN4 RPRM	non_indicated
PIPOX C16orf74	non_indicated
PIPOX BC037912	non_indicated
IFNGR1 PDK4	non_indicated
Contig49670_RC Contig26081_RC	non_indicated
Contig49670_RC GJA7	non_indicated
Contig49670_RC FGD6	non_indicated
TEAD4 PIM1	non_indicated
TEAD4 ANGPT2	non_indicated
TEAD4 PTP4A3	non_indicated
TEAD4 RAB25	non_indicated
TEAD4 EZH2	non_indicated
TEAD4 CISH	non_indicated
TEAD4 BACE2	non_indicated
TEAD4 AK023752	non_indicated
ATP6V1A GABRG2	non_indicated
ATP6V1A TXNDC13	non_indicated
ATP6V1A OXR1	non_indicated
Contig38542_RC AL049279	non_indicated
Contig23338_RC BC039382	non_indicated
ERBB2 MDK	non_indicated
SIX4 WDR76	non_indicated
ARMETL1 HSS00342343	non_indicated
NR4A2 PRR15	non_indicated
Contig45911_RC RPS6KA5	non_indicated
Contig45911_RC PCDHB4	non_indicated
PNOC NMU	non_indicated
PNOC KCNK3	non_indicated
PNOC LGI2	non_indicated
PNOC RP13-102H20.1	non_indicated
PNOC CORT	non_indicated
PNOC XM_173029	non_indicated
PCNA PNPT1	non_indicated
PCNA CXCL5	non_indicated
PCNA hCT1643619.3	non_indicated
AKR1B10 AL110201	non_indicated
GMPS PSME4	non_indicated
AF038190 AK057857	non_indicated
AF038190 AK054829	non_indicated
GNAQ SLMAP	non_indicated
GNAQ EGLN1	non_indicated
GNAQ SPAG9	non_indicated
GNAQ CCDC6	non_indicated
GNAQ ATF2	non_indicated
GNAQ LIN7C	non_indicated
RPL12 NUSAP1	non_indicated
RPL12 TPM1	non_indicated
RPL12 hCT1771897.1	non_indicated
RPL12 CEP250	non_indicated
ENPP2 CA2	non_indicated
ENPP2 PLP1	non_indicated
ENPP2 GPR37	non_indicated
ENPP2 TMEM144	non_indicated
ENPP2 GCLC	non_indicated
ENPP2 UGT8	non_indicated
ENPP2 FRMD4B	non_indicated
ENPP2 SHROOM4	non_indicated
ENPP2 SLAIN1	non_indicated
NEUROD1 Contig9229	non_indicated
NEUROD1 GPR83	non_indicated
Contig35884_RC LRRC55	non_indicated
Contig35884_RC FILIP1	non_indicated
Contig35884_RC C6orf190	non_indicated
Contig35884_RC HSS00256627	non_indicated
AMPD1 Contig36977_RC	non_indicated
AMPD1 XM_173164	non_indicated
STON2 AKR1C3	non_indicated
STON2 RAB31	non_indicated
STON2 GPT2	non_indicated
STON2 HSS00382749	non_indicated
Contig37046_RC ATP4B	non_indicated
Contig37046_RC FNDC1	non_indicated
Contig37046_RC ADRA1A	non_indicated
Contig37046_RC BC038729	non_indicated
PROCR CCL14	non_indicated
STC1 KIAA0040	non_indicated
STC1 BC017428	non_indicated
STC1 PDLIM4	non_indicated
AGT GPC5	non_indicated
AGT AK098198	non_indicated
ZDHHC9 OLIG2	non_indicated
LRRC54 FZD2	non_indicated
LRRC54 NM_175884	non_indicated
RP11-50D16.3 DUSP19	non_indicated
RP11-50D16.3 HSS00209331	non_indicated
RP11-50D16.3 PTBP2	non_indicated
FABP6 ENST00000288061	non_indicated
AL080093 NM_052871	non_indicated
MDFI MYL4	non_indicated
F13A1 TGFBI	non_indicated
LRRC32 EMP2	non_indicated
LRRC32 GJA4	non_indicated
LRRC32 SOX7	non_indicated
LRRC32 IER3	non_indicated
HRASLS3 AK026295	non_indicated
LMO3 Contig40464_RC	non_indicated
AK000802 DIXDC1	non_indicated
AK000802 AK056840	non_indicated
PTAR1 FBXO30	non_indicated
PTAR1 DDIT4L	non_indicated
LYSMD3 Contig48799_RC	non_indicated
LYSMD3 CCNG1	non_indicated
LYSMD3 MTF2	non_indicated
CA1 KRT1	non_indicated
ACAA2 NM_032723	non_indicated
ACAA2 TUBB2B	non_indicated
ACAA2 hCT2262086	non_indicated
ACAA2 EPHX2	non_indicated
NFIL3 GPR44	non_indicated
NFIL3 PPP2R3B	non_indicated
CAPZA2 YIPF5	non_indicated
CAPZA2 AB040883	non_indicated
CAPZA2 hCT1640487.2	non_indicated
CBLN4 EGR3	non_indicated
CBLN4 FAM40B	non_indicated
CBLN4 NM_153214	non_indicated
CBLN4 KHDRBS2	non_indicated
CBLN4 BC037880	non_indicated
BTC HSS00014186	non_indicated
LAT2 PSCD4	non_indicated
LAT2 RGS19	non_indicated
LAT2 HCK	non_indicated
LAT2 LAPTM5	non_indicated
LAT2 CD300A	non_indicated
LAT2 HSS00001998	non_indicated
LAT2 SLC2A5	non_indicated
COPZ2 AL110206	non_indicated
PDGFRA COL9A1	non_indicated
PDGFRA BCHE	non_indicated
DLG7 KNTC2	non_indicated
DLG7 NPPB	non_indicated
DLG7 FOXA2	non_indicated
KCNJ3 C9orf4	non_indicated
KCNJ3 RP11-506K6.3	non_indicated
AL109716 KCNJ16	non_indicated
AL109716 HSS00082598	non_indicated
AL109716 RXRG	non_indicated
SEC23A LIG4	non_indicated
SEC23A NM_017910	non_indicated
SEC23A SCN1A	non_indicated
SEC23A SGPP1	non_indicated
RABEP1 GLIPR1	non_indicated
PCDH17 NM_014549	non_indicated
UPP1 AF088019	non_indicated
HTR2A ROCK2	non_indicated
HTR2A HSS00378652	non_indicated
SERPINB2 WWC1	non_indicated
SHC1 MIDN	non_indicated
SHC1 AK092108	non_indicated
Contig16983_RC IL17A	non_indicated
Contig16983_RC HSS00094537	non_indicated
Contig11274_RC CA5BL	non_indicated
Contig11274_RC hCT1848841.2	non_indicated
RANBP5 NME7	non_indicated
ANXA3 MATN3	non_indicated
Contig26835_RC Contig20749_RC	non_indicated
TMSB4Y TTTY15	non_indicated
PPAP2C TBC1D2	non_indicated
PPAP2C VEZF1	non_indicated
PPAP2C MYO1E	non_indicated
PPAP2C BOK	non_indicated
BST2 APOL3	non_indicated
BST2 PARP12	non_indicated
DYNLT1 PCP4L1	non_indicated
ADSS TMEFF1	non_indicated
ADSS IMPAD1	non_indicated
ADSS Contig54295_RC	non_indicated
ADSS VLDLR	non_indicated
