source	interaction_type	target	status
FBXO2	BN	MRAS	non_indicated
FBXO2	BN	RND2	non_indicated
FBXO2	BN	SLC4A11	non_indicated
FBXO2	BN	AQP6	non_indicated
FBXO2	BN	MYBPH	non_indicated
S100P	BN	CD177	non_indicated
IL1R1	BN	BAIAP2L1	non_indicated
IL1R1	BN	TFPI	non_indicated
LDHA	BN	MRPL33	non_indicated
LDHA	BN	SLC2A14	non_indicated
LDHA	BN	hCT1970968.1	non_indicated
LDHA	BN	NUDT4P1	non_indicated
JUNB	BN	DUSP1	non_indicated
JUNB	BN	HES1	non_indicated
JUNB	BN	SNF1LK	non_indicated
CAV1	BN	CAV2	non_indicated
CAV1	BN	Contig8861_RC	non_indicated
CAV1	BN	AF074993	non_indicated
ABCB1	BN	IFI27	non_indicated
ABCB1	BN	EMCN	non_indicated
ABCB1	BN	SLC19A3	non_indicated
Contig53080_RC	BN	CALB2	non_indicated
ACTB	BN	hCT30026.3	non_indicated
NM_014859	BN	AK095156	non_indicated
CDH10	BN	ZNF533	non_indicated
TSPAN7	BN	KCNIP1	non_indicated
SPAG5	BN	TMEM81	non_indicated
SPAG5	BN	HSS00348353	non_indicated
SPAG5	BN	HSS00240808	non_indicated
SPAG5	BN	AL831898	non_indicated
ZNF238	BN	CDC42SE2	non_indicated
ATBF1	BN	SIX3	non_indicated
ATBF1	BN	CCDC50	non_indicated
CNTN6	BN	DPP10	non_indicated
ARL4C	BN	Contig32183_RC	non_indicated
DNAJB1	BN	DNAJA1	non_indicated
DNAJB1	BN	Contig29016_RC	non_indicated
DNAJB1	BN	GDPD3	non_indicated
DNAJB1	BN	HSS00335224	non_indicated
CDKN1C	BN	KCNQ1OT1	non_indicated
CDKN1C	BN	EFHD1	non_indicated
ERC2	BN	PCLO	non_indicated
ESRRG	BN	MAP9	non_indicated
DUSP8	BN	Contig40251_RC	non_indicated
DUSP8	BN	AF085859	non_indicated
DUSP8	BN	CRTC1	non_indicated
DUSP8	BN	ZBTB7A	non_indicated
DUSP8	BN	CACNA1A	non_indicated
CLDN18	BN	KIF26B	non_indicated
Contig28383_RC	BN	Contig54540_RC	non_indicated
QKI	BN	ARHGEF10	non_indicated
CACNA2D3	BN	ATP6V1H	non_indicated
CACNA2D3	BN	C2orf32	non_indicated
CACNA2D3	BN	RNF175	non_indicated
VIL2	BN	FZD8	non_indicated
VIL2	BN	CDK2AP1	non_indicated
NRXN1	BN	Contig42789_RC	non_indicated
NRXN1	BN	CHL1	non_indicated
NRXN1	BN	BAI3	non_indicated
ATP6V1C1	BN	LPHN2	non_indicated
ATP6V1C1	BN	ENST00000295286	non_indicated
ATP6V1C1	BN	RPE	non_indicated
