RGD:1308089	RGD:1308089	Plekhg3
RGD:2156	RGD:2156	Arrb1
RGD:2138	RGD:2138	Apoe
RGD:2136	RGD:2136	Apoc3
RGD:2130	RGD:2130	Apoa1
RGD:1562617	RGD:1562617	Rab7b
RGD:621144	RGD:621144	Rab8a
RGD:1589743	RGD:1589743	Ulk1
RGD:1307596	RGD:1307596	Fbxo8
RGD:1307566	RGD:1307566	Rasal2
RGD:620144	RGD:620144	Ntrk1
RGD:2318826	RGD:2318826	LOC100365556
RGD:62060	RGD:62060	Ogt
RGD:621279	RGD:621279	Arf6
SGD:S000005227	SGD:S000005227	WSC2
SGD:S000001575	SGD:S000001575	BUD2
SGD:S000000979	SGD:S000000979	BMH1
SGD:S000000957	SGD:S000000957	BEM2
SGD:S000000916	SGD:S000000916	BOI2
SGD:S000005124	SGD:S000005124	RHO5
GeneDB:PF3D7_1007200	GeneDB:PF3D7_1007200	PF3D7_1007200
GeneDB:Tb927.11.9530	GeneDB:Tb927.11.9530	Tb927.11.9530
dictyBase:DDB_G0275969	dictyBase:DDB_G0275969	rab1E
dictyBase:DDB_G0290875	dictyBase:DDB_G0290875	rabP
dictyBase:DDB_G0290833	dictyBase:DDB_G0290833	rabK1
dictyBase:DDB_G0290831	dictyBase:DDB_G0290831	rabK3
dictyBase:DDB_G0290829	dictyBase:DDB_G0290829	rabM
dictyBase:DDB_G0290827	dictyBase:DDB_G0290827	DDB_G0290827
dictyBase:DDB_G0270382	dictyBase:DDB_G0270382	DDB_G0270382
dictyBase:DDB_G0277017	dictyBase:DDB_G0277017	gxcN
dictyBase:DDB_G0276459	dictyBase:DDB_G0276459	pakB
dictyBase:DDB_G0292268	dictyBase:DDB_G0292268	rab2A
dictyBase:DDB_G0287211	dictyBase:DDB_G0287211	rab11B
dictyBase:DDB_G0290369	dictyBase:DDB_G0290369	DDB_G0290369
dictyBase:DDB_G0290793	dictyBase:DDB_G0290793	rabN2
dictyBase:DDB_G0290791	dictyBase:DDB_G0290791	rabK2
dictyBase:DDB_G0290789	dictyBase:DDB_G0290789	rabN1
dictyBase:DDB_G0290783	dictyBase:DDB_G0290783	rabG2
dictyBase:DDB_G0290779	dictyBase:DDB_G0290779	rabL
dictyBase:DDB_G0290771	dictyBase:DDB_G0290771	DDB_G0290771
dictyBase:DDB_G0281047	dictyBase:DDB_G0281047	gxcEE
dictyBase:DDB_G0276399	dictyBase:DDB_G0276399	rab8B
dictyBase:DDB_G0292300	dictyBase:DDB_G0292300	rsmM
dictyBase:DDB_G0291293	dictyBase:DDB_G0291293	rabU
dictyBase:DDB_G0291269	dictyBase:DDB_G0291269	spg1
dictyBase:DDB_G0291237	dictyBase:DDB_G0291237	rapA
dictyBase:DDB_G0291233	dictyBase:DDB_G0291233	rabA
dictyBase:DDB_G0286553	dictyBase:DDB_G0286553	rab21
dictyBase:DDB_G0285953	dictyBase:DDB_G0285953	DDB_G0285953
dictyBase:DDB_G0270140	dictyBase:DDB_G0270140	rasZ
dictyBase:DDB_G0270126	dictyBase:DDB_G0270126	rasY
dictyBase:DDB_G0270124	dictyBase:DDB_G0270124	rasX
dictyBase:DDB_G0276295	dictyBase:DDB_G0276295	rabW
dictyBase:DDB_G0276267	dictyBase:DDB_G0276267	gpaB
dictyBase:DDB_G0276227	dictyBase:DDB_G0276227	DDB_G0276227
dictyBase:DDB_G0275679	dictyBase:DDB_G0275679	gxcJJ
dictyBase:DDB_G0275675	dictyBase:DDB_G0275675	rab32C
dictyBase:DDB_G0285859	dictyBase:DDB_G0285859	gxcP
dictyBase:DDB_G0292998	dictyBase:DDB_G0292998	rasB
dictyBase:DDB_G0268910	dictyBase:DDB_G0268910	rabT1
dictyBase:DDB_G0292036	dictyBase:DDB_G0292036	ric8
dictyBase:DDB_G0279733	dictyBase:DDB_G0279733	gxcDD
dictyBase:DDB_G0289827	dictyBase:DDB_G0289827	rab18
dictyBase:DDB_G0294577	dictyBase:DDB_G0294577	DDB_G0294577
dictyBase:DDB_G0269416	dictyBase:DDB_G0269416	rab32B
dictyBase:DDB_G0269424	dictyBase:DDB_G0269424	gxcB
dictyBase:DDB_G0273533	dictyBase:DDB_G0273533	carA-2
dictyBase:DDB_G0282899	dictyBase:DDB_G0282899	rabV
dictyBase:DDB_G0284329	dictyBase:DDB_G0284329	gefA
dictyBase:DDB_G0283757	dictyBase:DDB_G0283757	rab1A
dictyBase:DDB_G0272905	dictyBase:DDB_G0272905	rabF1-1
dictyBase:DDB_G0294583	dictyBase:DDB_G0294583	DDB_G0294583
dictyBase:DDB_G0294571	dictyBase:DDB_G0294571	DDB_G0294571
dictyBase:DDB_G0294569	dictyBase:DDB_G0294569	DDB_G0294569
dictyBase:DDB_G0294533	dictyBase:DDB_G0294533	roco5
dictyBase:DDB_G0293978	dictyBase:DDB_G0293978	gxcJ
dictyBase:DDB_G0289859	dictyBase:DDB_G0289859	kxcA
dictyBase:DDB_G0268760	dictyBase:DDB_G0268760	rabQ
dictyBase:DDB_G0283603	dictyBase:DDB_G0283603	rab32A
dictyBase:DDB_G0273397	dictyBase:DDB_G0273397	carA-1
dictyBase:DDB_G0269262	dictyBase:DDB_G0269262	rabT2
dictyBase:DDB_G0269238	dictyBase:DDB_G0269238	rab11A
dictyBase:DDB_G0269236	dictyBase:DDB_G0269236	rab7A
dictyBase:DDB_G0269222	dictyBase:DDB_G0269222	gefB
dictyBase:DDB_G0284177	dictyBase:DDB_G0284177	DDB_G0284177
dictyBase:DDB_G0268354	dictyBase:DDB_G0268354	gxcGG
dictyBase:DDB_G0279123	dictyBase:DDB_G0279123	gxcCC
dictyBase:DDB_G0282653	dictyBase:DDB_G0282653	DDB_G0282653
dictyBase:DDB_G0282651	dictyBase:DDB_G0282651	rsmN
dictyBase:DDB_G0277987	dictyBase:DDB_G0277987	gxcA
dictyBase:DDB_G0272372	dictyBase:DDB_G0272372	gxcM
dictyBase:DDB_G0278483	dictyBase:DDB_G0278483	ngap
dictyBase:DDB_G0271750	dictyBase:DDB_G0271750	nfaA
dictyBase:DDB_G0271736	dictyBase:DDB_G0271736	rabC
dictyBase:DDB_G0293396	dictyBase:DDB_G0293396	gxcO
dictyBase:DDB_G0282537	dictyBase:DDB_G0282537	rabS
dictyBase:DDB_G0278417	dictyBase:DDB_G0278417	xacB
dictyBase:DDB_G0277869	dictyBase:DDB_G0277869	rac1A
dictyBase:DDB_G0277867	dictyBase:DDB_G0277867	rab1B
dictyBase:DDB_G0277829	dictyBase:DDB_G0277829	carC
dictyBase:DDB_G0292406	dictyBase:DDB_G0292406	rab4
dictyBase:DDB_G0293340	dictyBase:DDB_G0293340	gxcKK
dictyBase:DDB_G0282475	dictyBase:DDB_G0282475	gxcF
dictyBase:DDB_G0293266	dictyBase:DDB_G0293266	gxcY
dictyBase:DDB_G0277441	dictyBase:DDB_G0277441	rabJ
dictyBase:DDB_G0291738	dictyBase:DDB_G0291738	rabG1
dictyBase:DDB_G0282073	dictyBase:DDB_G0282073	gxcG
dictyBase:DDB_G0282055	dictyBase:DDB_G0282055	DDB_G0282055
dictyBase:DDB_G0287553	dictyBase:DDB_G0287553	rab7B
dictyBase:DDB_G0275955	dictyBase:DDB_G0275955	rabH
dictyBase:DDB_G0281385	dictyBase:DDB_G0281385	rasC
dictyBase:DDB_G0281337	dictyBase:DDB_G0281337	rab14
dictyBase:DDB_G0287459	dictyBase:DDB_G0287459	secG
dictyBase:DDB_G0286169	dictyBase:DDB_G0286169	rabZ
dictyBase:DDB_G0277143	dictyBase:DDB_G0277143	gpbA
dictyBase:DDB_G0277131	dictyBase:DDB_G0277131	gxcBB
dictyBase:DDB_G0277101	dictyBase:DDB_G0277101	rab11C
dictyBase:DDB_G0268068	dictyBase:DDB_G0268068	rab6
dictyBase:DDB_G0272138	dictyBase:DDB_G0272138	rab2B
dictyBase:DDB_G0267450	dictyBase:DDB_G0267450	pakC
dictyBase:DDB_G0282381	dictyBase:DDB_G0282381	gefC
dictyBase:DDB_G0277675	dictyBase:DDB_G0277675	DDB_G0277675
dictyBase:DDB_G0293124	dictyBase:DDB_G0293124	kxcB
dictyBase:DDB_G0291996	dictyBase:DDB_G0291996	gxcU
dictyBase:DDB_G0291978	dictyBase:DDB_G0291978	xacA
dictyBase:DDB_G0291918	dictyBase:DDB_G0291918	DDB_G0291918
dictyBase:DDB_G0282271	dictyBase:DDB_G0282271	gxcV
dictyBase:DDB_G0278147	dictyBase:DDB_G0278147	gxcW
dictyBase:DDB_G0282203	dictyBase:DDB_G0282203	rabY
dictyBase:DDB_G0288383	dictyBase:DDB_G0288383	gxcI
dictyBase:DDB_G0288377	dictyBase:DDB_G0288377	gxcH
dictyBase:DDB_G0293434	dictyBase:DDB_G0293434	rasG
dictyBase:DDB_G0283537	dictyBase:DDB_G0283537	rasS
dictyBase:DDB_G0282941	dictyBase:DDB_G0282941	DDB_G0282941
dictyBase:DDB_G0289665	dictyBase:DDB_G0289665	gefQ
dictyBase:DDB_G0269174	dictyBase:DDB_G0269174	rab1C
dictyBase:DDB_G0269166	dictyBase:DDB_G0269166	pakA
dictyBase:DDB_G0273831	dictyBase:DDB_G0273831	DDB_G0273831
dictyBase:DDB_G0292262	dictyBase:DDB_G0292262	myoM
dictyBase:DDB_G0282847	dictyBase:DDB_G0282847	rab5B
dictyBase:DDB_G0278703	dictyBase:DDB_G0278703	gxcII
dictyBase:DDB_G0273101	dictyBase:DDB_G0273101	DDB_G0273101
dictyBase:DDB_G0268402	dictyBase:DDB_G0268402	rab24
dictyBase:DDB_G0279241	dictyBase:DDB_G0279241	DDB_G0279241
dictyBase:DDB_G0271984	dictyBase:DDB_G0271984	rab5A
dictyBase:DDB_G0271980	dictyBase:DDB_G0271980	rabR
dictyBase:DDB_G0267854	dictyBase:DDB_G0267854	gxcD
dictyBase:DDB_G0282717	dictyBase:DDB_G0282717	gxcAA
dictyBase:DDB_G0292996	dictyBase:DDB_G0292996	rasD
dictyBase:DDB_G0269934	dictyBase:DDB_G0269934	DDB_G0269934
dictyBase:DDB_G0272486	dictyBase:DDB_G0272486	sec7
dictyBase:DDB_G0291085	dictyBase:DDB_G0291085	gxcE
dictyBase:DDB_G0291079	dictyBase:DDB_G0291079	gbpC
dictyBase:DDB_G0291077	dictyBase:DDB_G0291077	rdiA
dictyBase:DDB_G0290493	dictyBase:DDB_G0290493	gxcHH
dictyBase:DDB_G0291007	dictyBase:DDB_G0291007	gxcK
dictyBase:DDB_G0290407	dictyBase:DDB_G0290407	rabO
dictyBase:DDB_G0276007	dictyBase:DDB_G0276007	DDB_G0276007
dictyBase:DDB_G0274889	dictyBase:DDB_G0274889	gxcX
dictyBase:DDB_G0267588	dictyBase:DDB_G0267588	pikI
dictyBase:DDB_G0280087	dictyBase:DDB_G0280087	gxcS
dictyBase:DDB_G0280049	dictyBase:DDB_G0280049	rdiB
dictyBase:DDB_G0280043	dictyBase:DDB_G0280043	rab8A
dictyBase:DDB_G0284985	dictyBase:DDB_G0284985	rab1D
dictyBase:DDB_G0290133	dictyBase:DDB_G0290133	DDB_G0290133
dictyBase:DDB_G0274605	dictyBase:DDB_G0274605	gefR
