nodename	color	shape	size	font_size
PTPRR	grey	circle	40	12
PTX3	grey	circle	40	12
RAB33A	grey	circle	40	12
RAB9B	grey	circle	40	12
RAD51C	grey	circle	40	12
RALGDS	grey	circle	40	12
RAN	grey	circle	40	12
RANBP6	grey	circle	40	12
RAP2A	grey	circle	40	12
RAPGEF5	grey	circle	40	12
RARRES3	grey	circle	40	12
RASA2	grey	circle	40	12
RASSF8	grey	circle	40	12
RBM3	grey	circle	40	12
RBMS1	red	circle	120	36
RBP1	grey	circle	40	12
RBP4	grey	circle	40	12
RELA	grey	circle	40	12
RFTN1	grey	circle	40	12
RGS19	grey	circle	40	12
RGS2	grey	circle	40	12
RGS20	grey	circle	40	12
RHBDD2	grey	circle	40	12
RIF1	grey	circle	40	12
RIT1	lightgreen	circle	40	12
RNF152	grey	circle	40	12
ROM1	grey	circle	40	12
RORA	grey	circle	40	12
RP11-11C5.2	grey	circle	40	12
RP11-393H10.2	grey	circle	40	12
RP11-535K18.3	grey	circle	40	12
RPH3A	grey	circle	40	12
RPS2	grey	circle	40	12
RRAGB	grey	circle	40	12
RSE_00000153248	grey	circle	40	12
RSE_00000203274	grey	circle	40	12
RSE_00000584010	grey	circle	40	12
RSE_00000807432	grey	circle	40	12
RTEL1	grey	circle	40	12
RTF1	grey	circle	40	12
RTN1	grey	circle	40	12
RTN4IP1	grey	circle	40	12
RUFY3	grey	circle	40	12
RUNDC1	grey	circle	40	12
RYR3	red	circle	120	36
S100A4	grey	circle	40	12
S50182	grey	circle	40	12
S73397	grey	circle	40	12
SARDH	grey	circle	40	12
SCAMP1	grey	circle	40	12
SCARA3	grey	circle	40	12
SCN1A	grey	circle	40	12
SCN2A2	grey	circle	40	12
SCN3B	grey	circle	40	12
SCN8A	grey	circle	40	12
SDF2L1	grey	circle	40	12
SDSL	grey	circle	40	12
SEMA4D	grey	circle	40	12
SEMA6D	grey	circle	40	12
SERPINA3	grey	circle	40	12
SERPINA5	grey	circle	40	12
SERPINF1	grey	circle	40	12
SERPINH1	grey	circle	40	12
SERTAD1	grey	circle	40	12
SEZ6L2	grey	circle	40	12
SFRS5	red	circle	120	36
SHC1	grey	circle	40	12
SIAE	grey	circle	40	12
SIX3	grey	circle	40	12
SIX4	grey	circle	40	12
SKAP2	grey	circle	40	12
SLC10A4	grey	circle	40	12
SLC1A6	grey	circle	40	12
SLC28A2	grey	circle	40	12
SLC2A3P1	grey	circle	40	12
SLC30A10	grey	circle	40	12
SLC39A14	grey	circle	40	12
SLC44A3	grey	circle	40	12
SLC4A10	grey	circle	40	12
SLC4A1AP	grey	circle	40	12
SLC6A15	grey	circle	40	12
SLC9A9	grey	circle	40	12
SLCO4A1	grey	circle	40	12
SLFN11	grey	circle	40	12
SMARCA1	grey	circle	40	12
SMCHD1	grey	circle	40	12
SMN2	grey	circle	40	12
SMPX	grey	circle	40	12
SMTN	grey	circle	40	12
SNAP91	red	circle	120	36
SNCA	grey	circle	40	12
SNX22	grey	circle	40	12
SORBS1	grey	circle	40	12
SOS1	lightgreen	circle	40	12
SP110	grey	circle	40	12
SPAG1	red	circle	120	36
SPARCL1	grey	circle	40	12
SPG3A	grey	circle	40	12
SREBF2	grey	circle	40	12
SRPK2	grey	circle	40	12
SSTR1	grey	circle	40	12
ST3GAL5	grey	circle	40	12
ST7OT1	grey	circle	40	12
STAB1	grey	circle	40	12
STAG2	grey	circle	40	12
STAM	grey	circle	40	12
STC1	grey	circle	40	12
STMN3	grey	circle	40	12
STRBP	grey	circle	40	12
SUCLA2	grey	circle	40	12
