Gene	Status
TMEM102	non_indicated
TMEM100	non_indicated
Contig46777_RC	non_indicated
GHITM	non_indicated
BC022384	non_indicated
Contig44652_RC	non_indicated
FKBP1B	non_indicated
FKBP1A	non_indicated
PAIP1	non_indicated
FBLIM1	non_indicated
Contig8861_RC	non_indicated
AHNAK	non_indicated
NT5E	non_indicated
Contig33870_RC	non_indicated
AK021932	non_indicated
MAP1A	non_indicated
MAP1B	non_indicated
IGSF9B	non_indicated
FARSLB	non_indicated
UNC5B	non_indicated
UNC5C	non_indicated
VGF	non_indicated
UNC5A	non_indicated
UNC5D	non_indicated
NM_032487	non_indicated
FRMD6	non_indicated
PKNOX2	non_indicated
hCT2332577	non_indicated
CYorf15B	non_indicated
CYorf15A	non_indicated
GNAS	non_indicated
AL157463	non_indicated
AK094779	non_indicated
AL157466	non_indicated
AK000023	non_indicated
HSS00057871	non_indicated
SIX1	non_indicated
KRT1	non_indicated
KRT5	non_indicated
CEND1	non_indicated
hCT11539.3	non_indicated
Contig43710_RC	non_indicated
VPS41	non_indicated
HSS00291960	non_indicated
BCAP29	non_indicated
Contig37024_RC	non_indicated
TMCC3	non_indicated
HSS00020920	non_indicated
AF070595	non_indicated
NMNAT2	non_indicated
EPB41L3	non_indicated
ACSS1	non_indicated
Contig55497_RC	non_indicated
VPS4B	non_indicated
AK093691	non_indicated
BTBD14A	non_indicated
SLC43A3	non_indicated
Contig15690_RC	non_indicated
CNTNAP1	non_indicated
MAGEH1	non_indicated
WNT2	non_indicated
LRRN3	non_indicated
WNT6	non_indicated
LRRN1	non_indicated
AF087999	non_indicated
AL359582	non_indicated
ENST00000300598	non_indicated
hCT2279578	non_indicated
RIPK4	non_indicated
hCT1815989.2	non_indicated
TYRP1	non_indicated
GPRIN1	non_indicated
AK023134	non_indicated
HIST2H2BE	non_indicated
SPTBN4	non_indicated
SPTBN1	non_indicated
RNF175	non_indicated
KLF10	non_indicated
KLF15	non_indicated
IQWD1	non_indicated
SLC44A1	non_indicated
SLC44A3	non_indicated
ZBTB7A	non_indicated
MSI2	non_indicated
BC030122	non_indicated
PCNX	non_indicated
UTY	non_indicated
HDAC1	non_indicated
FEZF2	non_indicated
NM_001001703	non_indicated
RPA3	non_indicated
TENC1	non_indicated
NM_182568	non_indicated
hCT23582.2	non_indicated
C1S	non_indicated
C1R	non_indicated
COQ3	non_indicated
KLK5	non_indicated
STX1A	non_indicated
PLCXD3	non_indicated
HBB	non_indicated
BOK	non_indicated
ATP9A	non_indicated
BOC	non_indicated
RREB1	non_indicated
GAGE8	non_indicated
DENND2D	non_indicated
OR52J3	non_indicated
GAGE3	non_indicated
GAGE5	non_indicated
GAGE4	non_indicated
GAGE7	non_indicated
GAGE6	non_indicated
MICAL2	non_indicated
GPR107	non_indicated
XM_212067	non_indicated
IGSF1	non_indicated
ZNF365	non_indicated
ZNF366	non_indicated
Contig50004_RC	non_indicated
ZCD1	non_indicated
HSS00012308	non_indicated
AF085827	non_indicated
BC011766	non_indicated
H2AFJ	non_indicated
XM_212208	non_indicated
HSS00049095	non_indicated
CLTA	non_indicated
HSS00342647	non_indicated
LRRC62	non_indicated
hCT2289195	non_indicated
ADRBK2	non_indicated
DPEP3	non_indicated
ENST00000236199	non_indicated
PCOLCE	non_indicated
BC007549	non_indicated
AB046791	non_indicated
FAM118A	non_indicated
AF131783	non_indicated
AF131784	non_indicated
AB028947	non_indicated
CD300A	non_indicated
AK024118	non_indicated
Contig35138_RC	non_indicated
ENST00000278180	non_indicated
BAIAP3	non_indicated
BAIAP2	non_indicated
ACTR2	non_indicated
Contig32758_RC	non_indicated
KRT84	non_indicated
5-Sep	non_indicated
CNR1	non_indicated
Contig27444_RC	non_indicated
tcag7.1017	non_indicated
RAPGEFL1	non_indicated
NP	non_indicated
HHEX	non_indicated
ACTN2	non_indicated
AB007969	non_indicated
C1orf78	non_indicated
ANKS1B	non_indicated
ABI3BP	non_indicated
C1orf76	non_indicated
HSS00085657	non_indicated
OR5V1	non_indicated
PTPRR	non_indicated
XM_117397	non_indicated
AL832820	non_indicated
ZNF124	non_indicated
Contig45443_RC	non_indicated
BC038209	non_indicated
HSS00216341	non_indicated
AK026267	non_indicated
BC038206	non_indicated
AL833334	non_indicated
ADAM11	non_indicated
ADAM12	non_indicated
ADAM15	non_indicated
AK024800	non_indicated
AL117605	non_indicated
Contig54544_RC	non_indicated
CPNE6	non_indicated
CPNE4	non_indicated
HSS00145777	non_indicated
Contig37371_RC	non_indicated
PYCARD	non_indicated
Contig23421_RC	non_indicated
SFRS12	non_indicated
AK026402	non_indicated
SNRPN	non_indicated
Contig37690_RC	non_indicated
NM_016181	non_indicated
SHANK2	non_indicated
Contig35108_RC	non_indicated
GPR65	non_indicated
HSS00296989	non_indicated
Contig48944_RC	non_indicated
RP11-130N24.1	non_indicated
ZDHHC11	non_indicated
PCSK2	non_indicated
PCSK1	non_indicated
PCSK6	non_indicated
PCSK7	non_indicated
HIPK2	non_indicated
Contig45889_RC	non_indicated
AK094909	non_indicated
DUSP26	non_indicated
NAPB	non_indicated
C3orf14	non_indicated
LARP6	non_indicated
BC029166	non_indicated
COL15A1	non_indicated
ZNF179	non_indicated
NM_138402	non_indicated
EDIL3	non_indicated
LMLN	non_indicated
PLTP	non_indicated
EIF5A2	non_indicated
LGR5	non_indicated
LGR6	non_indicated
ELAVL1	non_indicated
ELAVL2	non_indicated
CDKN1C	non_indicated
CDKN1A	non_indicated
C20orf38	non_indicated
HSS00022851	non_indicated
SAMSN1	non_indicated
Contig26077_RC	non_indicated
NM_017694	non_indicated
APOE	non_indicated
FPRL1	non_indicated
Contig36931_RC	non_indicated
Contig31928_RC	non_indicated
NFIL3	non_indicated
HSS00258785	non_indicated
AK096857	non_indicated
TMEM125	non_indicated
FOXJ1	non_indicated
NM_024687	non_indicated
TMEM123	non_indicated
NM_024867	non_indicated
TMEM128	non_indicated
PREPL	non_indicated
SULT4A1	non_indicated
CABP3	non_indicated
CABP1	non_indicated
FBXO34	non_indicated
FBXO30	non_indicated
hCT2265174	non_indicated
CYP46A1	non_indicated
MBOAT1	non_indicated
Contig1007_RC	non_indicated
NM_006009	non_indicated
SPSB1	non_indicated
SDPR	non_indicated
Contig11940_RC	non_indicated
HSS00185415	non_indicated
ALAS1	non_indicated
ALAS2	non_indicated
S100A9	non_indicated
S100A8	non_indicated
PTTG1	non_indicated
S100A6	non_indicated
KIAA0513	non_indicated
MTAC2D1	non_indicated
hCT1970461	non_indicated
LONRF2	non_indicated
AK024321	non_indicated
HSS00130473	non_indicated
NALP1	non_indicated
HSS00085876	non_indicated
C15orf23	non_indicated
APBA2	non_indicated
AK021664	non_indicated
AL079277	non_indicated
Contig40959_RC	non_indicated
EFHB	non_indicated
COL10A1	non_indicated
PTPRZ1	non_indicated
hCT1783331.1	non_indicated
hCT10008.2	non_indicated
AK093907	non_indicated
MEF2C	non_indicated
CCNA2	non_indicated
CCNA1	non_indicated
DYNC1I1	non_indicated
ATP13A5	non_indicated
ATP13A4	non_indicated
LRRIQ1	non_indicated
PCDH20	non_indicated
SOX2OT	non_indicated
C1orf115	non_indicated
hCT1830427.2	non_indicated
BC035019	non_indicated
HSS00123916	non_indicated
C6orf85	non_indicated
XM_067020	non_indicated
OLFM2	non_indicated
AK058066	non_indicated
MAGEF1	non_indicated
ACBD7	non_indicated
PLIN	non_indicated
BC037943	non_indicated
Contig47879_RC	non_indicated
RLBP1	non_indicated
NM_033405	non_indicated
PYCR2	non_indicated
NM_014859	non_indicated
XM_210146	non_indicated
GATA2	non_indicated
WNT10B	non_indicated
GNG11	non_indicated
GNG12	non_indicated
hCT2256732	non_indicated
XM_209601	non_indicated
Contig20441_RC	non_indicated
LIPA	non_indicated
IFITM2	non_indicated
LIPC	non_indicated
HPCAL1	non_indicated
LIPE	non_indicated
LIPG	non_indicated
LIPH	non_indicated
SEC24D	non_indicated
Contig37946_RC	non_indicated
ACCN4	non_indicated
HSS00104556	non_indicated
CSMD3	non_indicated
PI16	non_indicated
MRPL43	non_indicated
KAL1	non_indicated
TRIP6	non_indicated
NM_182545	non_indicated
NGB	non_indicated
ZNF697	non_indicated
GDPD1	non_indicated
UNC93B1	non_indicated
LAMB3	non_indicated
CYSLTR1	non_indicated
C21orf7	non_indicated
NEK5	non_indicated
NEK2	non_indicated
NEK3	non_indicated
XM_211544	non_indicated
BMX	non_indicated
hCT13257.2	non_indicated
G0S2	non_indicated
AL137513	non_indicated
ASTN1	non_indicated
CCDC6	non_indicated
SHE	non_indicated
CCDC4	non_indicated
COX7A1	non_indicated
PRKCB1	non_indicated
MTHFD2	non_indicated
Contig28889_RC	non_indicated
JMJD2B	non_indicated
JMJD2D	non_indicated
MGP	non_indicated
ADSS	non_indicated
Contig12648_RC	non_indicated
ENST00000296699	non_indicated
GMNN	non_indicated
LUM	non_indicated
NM_052889	non_indicated
CYorf14	non_indicated
GAS2L3	non_indicated
C7orf16	non_indicated
C5orf22	non_indicated
hCT1815701	non_indicated
HSS00024711	non_indicated
ENST00000273343	non_indicated
RALGDS	non_indicated
NM_052880	non_indicated
DLL1	non_indicated
NUDT10	non_indicated
NUDT11	non_indicated
DLL4	non_indicated
NUDT18	non_indicated
MX1	non_indicated
TM6SF1	non_indicated
AF052109	non_indicated
AF052108	non_indicated
IFI6	non_indicated
XM_212224	non_indicated
CPN2	non_indicated
SLC4A11	non_indicated
Contig40527_RC	non_indicated
PCP4	non_indicated
STAB1	non_indicated
Contig47779_RC	non_indicated
CFHR1	non_indicated
LGI1	non_indicated
LGI2	non_indicated
CLIC2	non_indicated
AF146695	non_indicated
CASQ1	non_indicated
CASQ2	non_indicated
PHACTR2	non_indicated
AK055928	non_indicated
ICA1	non_indicated
TNNT1	non_indicated
HSS00001404	non_indicated
CDC42EP3	non_indicated
TXLNB	non_indicated
Contig40685_RC	non_indicated
HRASLS3	non_indicated
WFIKKN1	non_indicated
