Gene	Status
EFHC2	non_indicated
EFHC1	non_indicated
TPRKB	non_indicated
ETHE1	non_indicated
ABCG1	non_indicated
ABCG2	non_indicated
PRDM15	non_indicated
PRDM10	non_indicated
PLSCR1	non_indicated
MPO	non_indicated
MPL	non_indicated
MPI	non_indicated
PRKCZ	non_indicated
POLRMT	non_indicated
MPZ	non_indicated
MCPH1	non_indicated
KDM1A	non_indicated
KDM1B	non_indicated
PLRG1	non_indicated
LOC100287590	non_indicated
PRKCQ	non_indicated
LOC286109	non_indicated
GADL1	non_indicated
SRGAP2C	non_indicated
QRSL1	non_indicated
SNRNP40	non_indicated
BTG3	non_indicated
BTG1	non_indicated
C4orf34	non_indicated
C4orf32	non_indicated
C4orf33	non_indicated
SRD5A1	non_indicated
HELLS	non_indicated
FAM49A	non_indicated
FAM49B	non_indicated
GGA2	non_indicated
C15orf40	non_indicated
C10orf95	non_indicated
ADH5	non_indicated
PKD2	non_indicated
C4orf3	non_indicated
ZNF138	non_indicated
PRKACA	non_indicated
PRKACB	non_indicated
PSMB7	non_indicated
PSMB2	non_indicated
PSMB1	non_indicated
HDHD3	non_indicated
HDHD2	non_indicated
RMI1	non_indicated
RMI2	non_indicated
TRAT1	non_indicated
CRY1	non_indicated
LTN1	non_indicated
LOC202025	non_indicated
VPS13A	non_indicated
VPS13C	non_indicated
BEX5	non_indicated
BEX4	non_indicated
BEX2	non_indicated
MIR4720	non_indicated
SCAF11	non_indicated
NUP160	non_indicated
CRYM	non_indicated
TMEM165	non_indicated
TMEM164	non_indicated
EVI2A	non_indicated
TMEM168	non_indicated
EVI2B	non_indicated
FOXN2	non_indicated
FOXN3	non_indicated
NICN1	non_indicated
PMVK	non_indicated
ASXL1	non_indicated
GNA15	non_indicated
GNA12	non_indicated
KLHDC8B	non_indicated
KLHDC8A	non_indicated
IL3RA	non_indicated
NOL8	non_indicated
IFFO2	non_indicated
MFGE8	non_indicated
IL6ST	non_indicated
SBF2	non_indicated
DBN1	non_indicated
NOL7	non_indicated
CDC73	non_indicated
C11orf31	non_indicated
C11orf30	non_indicated
SEMG1	non_indicated
LMBRD2	non_indicated
LMBRD1	non_indicated
SRFBP1	non_indicated
BCAT2	non_indicated
C1orf131	non_indicated
MACROD2	non_indicated
AKAP7	non_indicated
AKAP1	non_indicated
AKAP2	non_indicated
PPIL1	non_indicated
EIF2D	non_indicated
AKAP9	non_indicated
EIF2A	non_indicated
LOC100134822	non_indicated
PHPT1	non_indicated
SMC1A	non_indicated
RLF	non_indicated
TMEM170B	non_indicated
RRP1B	non_indicated
LOC283194	non_indicated
TMEM170A	non_indicated
HSP90B1	non_indicated
KRR1	non_indicated
LOC728802	non_indicated
OVGP1	non_indicated
ZNF414	non_indicated
CCL28	non_indicated
FAM92A1	non_indicated
CCL23	non_indicated
ALPK1	non_indicated
ALPK3	non_indicated
C8orf44	non_indicated
PRPF39	non_indicated
TP53I3	non_indicated
C8orf40	non_indicated
CUX1	non_indicated
CUX2	non_indicated
DERL3	non_indicated
CYSTM1	non_indicated
CSNK1A1	non_indicated
CAMSAP2	non_indicated
DNAJC5	non_indicated
DNAJC6	non_indicated
DNAJC7	non_indicated
DZANK1	non_indicated
DNAJC2	non_indicated
DNAJC3	non_indicated
GOSR2	non_indicated
SLC18A2	non_indicated
RRP15	non_indicated
RALBP1	non_indicated
NRN1	non_indicated
MAP3K7	non_indicated
ZNF831	non_indicated
SNORA68	non_indicated
IER3IP1	non_indicated
ZNF836	non_indicated
LRIF1	non_indicated
FAM91A2	non_indicated
FAM91A1	non_indicated
MTCP1NB	non_indicated
ACAT1	non_indicated
LIMD1	non_indicated
RNF157	non_indicated
PEX1	non_indicated
MECP2	non_indicated
FXC1	non_indicated
PTER	non_indicated
LDLR	non_indicated
IL2RA	non_indicated
IL2RB	non_indicated
RAB33A	non_indicated
TPCN1	non_indicated
TPCN2	non_indicated
RAB33B	non_indicated
SLC17A5	non_indicated
ZFYVE28	non_indicated
SPAG16	non_indicated
UBFD1	non_indicated
SETDB2	non_indicated
C16orf52	non_indicated
C16orf53	non_indicated
