Gene	Status
CALCRL	non_indicated
PIGH	non_indicated
PIGK	non_indicated
TMEM194A	non_indicated
PIGR	non_indicated
PIGT	non_indicated
PIGV	non_indicated
RMND1	non_indicated
TAX1BP1	non_indicated
SNAPC3	non_indicated
TAX1BP3	non_indicated
ANKLE2	non_indicated
INPPL1	non_indicated
OLR1	non_indicated
SRRM1	non_indicated
SRRM2	non_indicated
FAM134B	non_indicated
PDK1	non_indicated
PDK3	non_indicated
EBP	non_indicated
PDK4	non_indicated
ROD1	non_indicated
ZNF292	non_indicated
SEC61A1	non_indicated
ALPL	non_indicated
PTGS2	non_indicated
PTGS1	non_indicated
TM2D3	non_indicated
ZFAND6	non_indicated
ZFAND5	non_indicated
ZFAND1	non_indicated
PECI	non_indicated
PLVAP	non_indicated
SLC39A14	non_indicated
NPDC1	non_indicated
EIF1AX	non_indicated
EIF1AY	non_indicated
NTRK2	non_indicated
RSBN1	non_indicated
LRPAP1	non_indicated
ARHGAP26	non_indicated
ARHGAP25	non_indicated
ARHGAP29	non_indicated
HHAT	non_indicated
DDIT4	non_indicated
ATG2B	non_indicated
PPPDE1	non_indicated
PPPDE2	non_indicated
BMP7	non_indicated
BMP6	non_indicated
BMP5	non_indicated
BMP4	non_indicated
BMP2	non_indicated
BMP1	non_indicated
NDUFAF4	non_indicated
DR1	non_indicated
ASF1A	non_indicated
TERF1	non_indicated
NDUFAF1	non_indicated
GOLGA8A	non_indicated
GOLGA8B	non_indicated
RASSF9	non_indicated
PTOV1	non_indicated
RASSF2	non_indicated
RASSF4	non_indicated
RASSF7	non_indicated
LPPR4	non_indicated
NHP2	non_indicated
RSAD2	non_indicated
ATP5C1	non_indicated
CHD3	non_indicated
CHD4	non_indicated
CHD7	non_indicated
MRP63	non_indicated
CHD9	non_indicated
CHD8	non_indicated
CAP1	non_indicated
CAP2	non_indicated
NPC2	non_indicated
NPC1	non_indicated
6-Mar	non_indicated
RAB3GAP2	non_indicated
IL4R	non_indicated
TTC3	non_indicated
PIKFYVE	non_indicated
C3orf52	non_indicated
TTC9	non_indicated
DAG1	non_indicated
DYNC1LI2	non_indicated
EFHC2	non_indicated
EFHC1	non_indicated
CAPG	non_indicated
TPRKB	non_indicated
ETHE1	non_indicated
ABCG1	non_indicated
PLSCR4	non_indicated
PLSCR1	non_indicated
POLRMT	non_indicated
GRPEL1	non_indicated
KRIT1	non_indicated
AL049991	non_indicated
QRSL1	non_indicated
FCER1G	non_indicated
AKR1B10	non_indicated
BTG3	non_indicated
BTG2	non_indicated
BTG1	non_indicated
AL138761	non_indicated
C4orf31	non_indicated
SRD5A3	non_indicated
SRD5A1	non_indicated
HELLS	non_indicated
FAM49A	non_indicated
FAM49B	non_indicated
ZFP36L1	non_indicated
ZFP36L2	non_indicated
GGA2	non_indicated
FHOD1	non_indicated
FHOD3	non_indicated
ADH6	non_indicated
ADH5	non_indicated
PKD2	non_indicated
PSMB9	non_indicated
PSMB8	non_indicated
PSMB7	non_indicated
ZNF131	non_indicated
PSMB5	non_indicated
PSMB4	non_indicated
PSMB3	non_indicated
PSMB2	non_indicated
PSMB1	non_indicated
ZNF137	non_indicated
HDHD3	non_indicated
TALDO1	non_indicated
PFTK1	non_indicated
AK025143	non_indicated
LOH3CR2A	non_indicated
RMI1	non_indicated
PDP1	non_indicated
CSDA	non_indicated
SFRS9	non_indicated
SFRS7	non_indicated
KCNK5	non_indicated
SFRS5	non_indicated
SFRS3	non_indicated
KCNK1	non_indicated
CRY2	non_indicated
KCNK3	non_indicated
RETSAT	non_indicated
AA910371	non_indicated
NACC2	non_indicated
VPS13D	non_indicated
ACOT13	non_indicated
VPS13A	non_indicated
VPS13C	non_indicated
VPS13B	non_indicated
BEX4	non_indicated
BEX1	non_indicated
NUP160	non_indicated
ELTD1	non_indicated
CRYM	non_indicated
TMEM165	non_indicated
TMEM164	non_indicated
EVI2A	non_indicated
TMEM168	non_indicated
EVI2B	non_indicated
FOXN3	non_indicated
COL14A1	non_indicated
GNA14	non_indicated
GNA15	non_indicated
GNA11	non_indicated
NOL8	non_indicated
IFFO1	non_indicated
TAP2	non_indicated
MFGE8	non_indicated
IL6ST	non_indicated
SBF1	non_indicated
SAR1A	non_indicated
DBN1	non_indicated
SAR1B	non_indicated
OGDH	non_indicated
ADD1	non_indicated
CDC73	non_indicated
LMBRD1	non_indicated
BCAT2	non_indicated
BCAT1	non_indicated
MACROD1	non_indicated
AKAP7	non_indicated
GTF2F1	non_indicated
AKAP1	non_indicated
AKAP9	non_indicated
CYP26A1	non_indicated
NFU1	non_indicated
RRP1B	non_indicated
NOVA1	non_indicated
HSP90B1	non_indicated
AL080112	non_indicated
KRR1	non_indicated
FAM64A	non_indicated
TMEM132A	non_indicated
PEG10	non_indicated
CETN3	non_indicated
CETN2	non_indicated
PCLO	non_indicated
H3F3B	non_indicated
DIO2	non_indicated
CCL21	non_indicated
CCL20	non_indicated
CCL22	non_indicated
ALPK3	non_indicated
UCK2	non_indicated
MAP3K8	non_indicated
TP53I3	non_indicated
CUX1	non_indicated
FAM70A	non_indicated
DNAJC9	non_indicated
MB	non_indicated
DNAJC4	non_indicated
DNAJC6	non_indicated
CAMSAP1	non_indicated
DNAJC1	non_indicated
DNAJC2	non_indicated
DNAJC3	non_indicated
NOX4	non_indicated
SORT1	non_indicated
SLC18A2	non_indicated
GOSR1	non_indicated
RRP15	non_indicated
RALBP1	non_indicated
NRN1	non_indicated
DEAF1	non_indicated
RAP1A	non_indicated
GNB5	non_indicated
LOC552889	non_indicated
ASAP3	non_indicated
MAP3K4	non_indicated
INTS5	non_indicated
SLC23A2	non_indicated
MTCP1NB	non_indicated
ACAT1	non_indicated
ACAT2	non_indicated
LIMD2	non_indicated
LIMD1	non_indicated
PEX1	non_indicated
CTF1	non_indicated
MECP2	non_indicated
PEX3	non_indicated
LDLR	non_indicated
IL2RB	non_indicated
TPCN1	non_indicated
IL2RG	non_indicated
CP110	non_indicated
SLC17A5	non_indicated
SPAG16	non_indicated
UBFD1	non_indicated
C16orf58	non_indicated
CDK5RAP2	non_indicated
CDK5RAP3	non_indicated
CDK5RAP1	non_indicated
KIAA0319L	non_indicated
ITCH	non_indicated
CHMP4A	non_indicated
BAX	non_indicated
BAD	non_indicated
CTSK	non_indicated
BHMT2	non_indicated
PRKCDBP	non_indicated
COBLL1	non_indicated
SLC37A1	non_indicated
TOB1	non_indicated
PMPCA	non_indicated
TOB2	non_indicated
CDK10	non_indicated
SULF1	non_indicated
GPR126	non_indicated
ST5	non_indicated
GPR124	non_indicated
ST7	non_indicated
ATP6V1B2	non_indicated
2-Mar	non_indicated
ZNF304	non_indicated
ZNF302	non_indicated
MMP28	non_indicated
STS	non_indicated
P2RY2	non_indicated
SEC61G	non_indicated
P2RY6	non_indicated
MTERFD1	non_indicated
ZC3H13	non_indicated
RPL15	non_indicated
