Gene	Status
HILPDA	non_indicated
LRRC27	non_indicated
KIAA1524	non_indicated
KIAA1033	non_indicated
LOX	non_indicated
LPGAT1	non_indicated
LRRC28	non_indicated
GCNT1	non_indicated
GCNT2	non_indicated
PARD6B	non_indicated
C14orf132	non_indicated
C14orf133	non_indicated
LPCAT4	non_indicated
LPCAT2	non_indicated
LPCAT3	non_indicated
LPCAT1	non_indicated
MID1IP1	non_indicated
PIGB	non_indicated
CALCRL	non_indicated
PIGL	non_indicated
PIGN	non_indicated
TMEM194A	non_indicated
PIGR	non_indicated
ABI2	non_indicated
WRAP53	non_indicated
PIGW	non_indicated
PIGX	non_indicated
PIGZ	non_indicated
RMND1	non_indicated
ANKLE2	non_indicated
RHPN2	non_indicated
SRRM1	non_indicated
BBIP1	non_indicated
SRRM2	non_indicated
PDK1	non_indicated
PDK3	non_indicated
PDK2	non_indicated
EBP	non_indicated
PDK4	non_indicated
LNPEP	non_indicated
ALPI	non_indicated
C9orf114	non_indicated
SEC61A1	non_indicated
SEC61A2	non_indicated
ALPL	non_indicated
PTGS2	non_indicated
PTGS1	non_indicated
SUN1	non_indicated
LOC100652989	non_indicated
LOC100652987	non_indicated
OGFRL1	non_indicated
ZFAND5	non_indicated
ZFAND4	non_indicated
ZFAND3	non_indicated
PLVAP	non_indicated
CEP128	non_indicated
SLC39A10	non_indicated
LOC96610	non_indicated
EIF1AX	non_indicated
EIF1AY	non_indicated
FNBP4	non_indicated
RSBN1	non_indicated
ARHGAP23	non_indicated
ARHGAP22	non_indicated
ARHGAP21	non_indicated
ARHGAP20	non_indicated
ARHGAP27	non_indicated
ARHGAP26	non_indicated
ARHGAP25	non_indicated
ARHGAP24	non_indicated
ARHGAP29	non_indicated
ARHGAP28	non_indicated
FLJ39739	non_indicated
DDIT4	non_indicated
LOC284889	non_indicated
MYSM1	non_indicated
ATG2A	non_indicated
ATG2B	non_indicated
BMP7	non_indicated
C1orf38	non_indicated
BMP5	non_indicated
BMP2	non_indicated
BMP1	non_indicated
GPR4	non_indicated
DR1	non_indicated
SWT1	non_indicated
TERF1	non_indicated
GOLGA8A	non_indicated
RASSF8	non_indicated
PTPMT1	non_indicated
RASSF2	non_indicated
RASSF5	non_indicated
RASSF4	non_indicated
RASSF7	non_indicated
RASSF6	non_indicated
VMO1	non_indicated
RSAD2	non_indicated
ATP5C1	non_indicated
CHD2	non_indicated
CHD4	non_indicated
CHD7	non_indicated
CHD9	non_indicated
CAP2	non_indicated
LOC283050	non_indicated
CHML	non_indicated
LINC00324	non_indicated
IL4R	non_indicated
TTC3	non_indicated
C3orf52	non_indicated
TTC9	non_indicated
CAPS	non_indicated
DAG1	non_indicated
DYNC1LI2	non_indicated
EFHC2	non_indicated
EFHC1	non_indicated
CAPG	non_indicated
ETHE1	non_indicated
PRDM16	non_indicated
MPG	non_indicated
ABCG2	non_indicated
PRDM15	non_indicated
ABCG5	non_indicated
PRDM10	non_indicated
PLSCR1	non_indicated
ABCG8	non_indicated
HNF4G	non_indicated
HNF4A	non_indicated
HIST1H3A	non_indicated
POLRMT	non_indicated
FUCA1	non_indicated
MPZ	non_indicated
KDM1B	non_indicated
SLC36A4	non_indicated
LOC100287590	non_indicated
PRKCQ	non_indicated
PP7080	non_indicated
QRSL1	non_indicated
FCER1G	non_indicated
AKR1B10	non_indicated
FCER1A	non_indicated
BTG2	non_indicated
SOSTDC1	non_indicated
DNALI1	non_indicated
SLA2	non_indicated
C4orf34	non_indicated
C4orf32	non_indicated
C4orf33	non_indicated
SRD5A3	non_indicated
SRD5A1	non_indicated
HELLS	non_indicated
AKAP17A	non_indicated
FAM49A	non_indicated
ZFP36L1	non_indicated
C10orf99	non_indicated
GGA2	non_indicated
C15orf40	non_indicated
FHOD1	non_indicated
ADH6	non_indicated
ADH5	non_indicated
ADH4	non_indicated
PKD2	non_indicated
C4orf3	non_indicated
GJC1	non_indicated
ZNF138	non_indicated
C14orf118	non_indicated
PSMB9	non_indicated
PRKACB	non_indicated
PSMB7	non_indicated
PSMB2	non_indicated
PFKFB2	non_indicated
TUG1	non_indicated
SPRYD7	non_indicated
PRKXP1	non_indicated
TDGF1	non_indicated
RMI2	non_indicated
KCNK5	non_indicated
TRAT1	non_indicated
KCNK1	non_indicated
CRY2	non_indicated
LTN1	non_indicated
LOC202025	non_indicated
VPS13D	non_indicated
ACOT13	non_indicated
VPS13A	non_indicated
SH3KBP1	non_indicated
VPS13C	non_indicated
VPS13B	non_indicated
BEX5	non_indicated
BEX4	non_indicated
BEX2	non_indicated
KIAA0556	non_indicated
SCAF11	non_indicated
ELTD1	non_indicated
CRYM	non_indicated
TMEM163	non_indicated
TMEM165	non_indicated
TMEM164	non_indicated
EVI2A	non_indicated
TMEM168	non_indicated
EVI2B	non_indicated
FOXN2	non_indicated
FOXN3	non_indicated
COL14A1	non_indicated
VWDE	non_indicated
ASXL1	non_indicated
GNA14	non_indicated
GNA15	non_indicated
GNA12	non_indicated
GNA13	non_indicated
GRIN2D	non_indicated
GNA11	non_indicated
SH2B3	non_indicated
IFFO1	non_indicated
TAP2	non_indicated
IL6ST	non_indicated
SBF2	non_indicated
DBN1	non_indicated
OGDH	non_indicated
CDC73	non_indicated
C11orf35	non_indicated
C11orf30	non_indicated
LMBRD2	non_indicated
WEE1	non_indicated
SRFBP1	non_indicated
LOC644192	non_indicated
BCAT1	non_indicated
MACROD2	non_indicated
C1orf133	non_indicated
AKAP5	non_indicated
AKAP7	non_indicated
AKAP1	non_indicated
AKAP2	non_indicated
DDX60L	non_indicated
EIF2D	non_indicated
AKAP9	non_indicated
ABI1	non_indicated
PSTK	non_indicated
TUBE1	non_indicated
SPATA13	non_indicated
ODF2	non_indicated
HSP90B1	non_indicated
CCDC113	non_indicated
KRR1	non_indicated
LOC728802	non_indicated
TMEM132A	non_indicated
TMEM132C	non_indicated
OVGP1	non_indicated
KLHL31	non_indicated
CCL28	non_indicated
PCLO	non_indicated
DIO2	non_indicated
CCL21	non_indicated
CCL20	non_indicated
CCL23	non_indicated
CCL22	non_indicated
CCL25	non_indicated
CCL24	non_indicated
ALPK1	non_indicated
ALPK2	non_indicated
SGTB	non_indicated
C8orf44	non_indicated
C8orf42	non_indicated
CUX1	non_indicated
FAM70B	non_indicated
BRF2	non_indicated
DNAJC8	non_indicated
CSNK1A1	non_indicated
MB	non_indicated
DNAJC4	non_indicated
CAMSAP3	non_indicated
DNAJC6	non_indicated
CAMSAP1	non_indicated
DNAJC2	non_indicated
DNAJC3	non_indicated
GOSR2	non_indicated
SLC18A2	non_indicated
GOSR1	non_indicated
RRP15	non_indicated
RALBP1	non_indicated
NRN1	non_indicated
MAP3K7	non_indicated
ZNF831	non_indicated
SNORA68	non_indicated
RNF185-AS1	non_indicated
ZNF836	non_indicated
DCTN1-AS1	non_indicated
FAM91A2	non_indicated
ATOH7	non_indicated
ACAT2	non_indicated
MLK7-AS1	non_indicated
LIMD2	non_indicated
RNF150	non_indicated
RNF157	non_indicated
FMOD	non_indicated
MECP2	non_indicated
LDLR	non_indicated
BEGAIN	non_indicated
IL2RB	non_indicated
ZFYVE20	non_indicated
SLC17A8	non_indicated
SLC17A9	non_indicated
TPCN2	non_indicated
IL2RG	non_indicated
SLC17A4	non_indicated
SLC17A5	non_indicated
ZFYVE28	non_indicated
SPAG16	non_indicated
UBFD1	non_indicated
CDK5RAP2	non_indicated
C16orf53	non_indicated
LOC100505761	non_indicated
C16orf54	non_indicated
C16orf55	non_indicated
ITCH	non_indicated
ERC1	non_indicated
CHMP4B	non_indicated
CCDC144A	non_indicated
COBLL1	non_indicated
SLC37A2	non_indicated
CDK18	non_indicated
CDK19	non_indicated
TOB1	non_indicated
ZNF200	non_indicated
SLC37A4	non_indicated
TOB2	non_indicated
CDK12	non_indicated
CDK13	non_indicated
CDK10	non_indicated
CDK16	non_indicated
SULF2	non_indicated
SULF1	non_indicated
GPR126	non_indicated
GPR125	non_indicated
RBL2	non_indicated
AASDH	non_indicated
GPR128	non_indicated
ZNF302	non_indicated
P2RY8	non_indicated
MMP28	non_indicated
STS	non_indicated
P2RY2	non_indicated
P2RY1	non_indicated
SEC61B	non_indicated
MTERFD2	non_indicated
RPL15	non_indicated
TFG	non_indicated
HVCN1	non_indicated
RND1	non_indicated
PPP3CA	non_indicated
PPP3CC	non_indicated
SESTD1	non_indicated
GPATCH8	non_indicated
LRRC40	non_indicated
FGFR4	non_indicated
B3GNT5	non_indicated
B3GNT6	non_indicated
B3GNT7	non_indicated
GPATCH2	non_indicated
ADRA2A	non_indicated
PWWP2B	non_indicated
C6orf141	non_indicated
BIK	non_indicated
FGFR1	non_indicated
DAAM1	non_indicated
HLA-DRB1	non_indicated
C16orf46	non_indicated
HLA-DRB4	non_indicated
YIF1B	non_indicated
LOC100288152	non_indicated
WRAP73	non_indicated
LOC100505938	non_indicated
FN1	non_indicated
SYK	non_indicated
RHD	non_indicated
MEP1B	non_indicated
PCED1A	non_indicated
PCED1B	non_indicated
FUBP3	non_indicated
LOC400643	non_indicated
CEP104	non_indicated
LOC100507472	non_indicated
FAM189A2	non_indicated
FAM189A1	non_indicated
TCP11L1	non_indicated
TCP11L2	non_indicated
NES	non_indicated
PALMD	non_indicated
ANGPT2	non_indicated
OXT	non_indicated
C1orf53	non_indicated
C1orf51	non_indicated
C1orf50	non_indicated
C1orf56	non_indicated
C1orf54	non_indicated
LOC100129250	non_indicated
MARC1	non_indicated
MARC2	non_indicated
ICMT	non_indicated
FDCSP	non_indicated
FCF1	non_indicated
TBC1D1	non_indicated
GPR97	non_indicated
SMCR7L	non_indicated
C17orf109	non_indicated
MRPS31	non_indicated
ATM	non_indicated
C17orf103	non_indicated
C17orf101	non_indicated
ATR	non_indicated
ADAM33	non_indicated
SMPD3	non_indicated
BRIP1	non_indicated
