Term	Overlap	P-value	Adjusted P-value	Z-score	Combined Score	Genes
MORF_DDB1	5/241	0.14581348165623	0.74151046120556	-1.38153889227435	0.41317132325639	EBP;SFSWAP;PLIN3;TCEA1;RAF1
GCM_SMARCC1	2/37	0.07157805793225	0.74151046120556	-1.37624724665874	0.41158877191931	SMARCC1;DHX9
MORF_ERCC4	6/326	0.17329118935734	0.74151046120556	-1.33922007354487	0.40051520301911	USP46;FNTB;NF1;ADCY3;IL16;MAP2K7
MORF_RAD21	4/182	0.15916473242843	0.74151046120556	-1.33154162960444	0.39821884143193	GMFB;MDH1;COPB1;G3BP1
MODULE_567	3/98	0.10613691567994	0.74151046120556	-1.3273526614424	0.39696606344047	AGPS;HP1BP3;ZNF207
MODULE_286	2/37	0.07157805793225	0.74151046120556	-1.32509803240618	0.39629178053207	MDH1;CRYZL1
MORF_ERCC2	3/102	0.1157017878935	0.74151046120556	-1.32158084416089	0.39523990907947	SFSWAP;AGPS;PLIN3
MORF_RFC1	3/110	0.13575163662707	0.74151046120556	-1.2972468646652	0.3879624429404	SFSWAP;PLIN3;ATP11B
MORF_CNTN1	3/108	0.1306300963848	0.74151046120556	-1.27937122832502	0.38261644771578	H6PD;PDPK1;VAMP1
MODULE_126	4/183	0.16131863546386	0.74151046120556	-1.27343238923074	0.38084034280776	CCNE2;EIF1AX;CAMK1;SMC2
MODULE_86	2/43	0.09160404436494	0.74151046120556	-1.2697966949972	0.37975303024217	RIT1;KRAS
GCM_APEX1	3/114	0.14619852680028	0.74151046120556	-1.26333469172419	0.37782046471098	DHX9;SNRPA1;RHOA
MORF_DEK	5/262	0.1844578543897	0.74151046120556	-1.24199671499515	0.3714390011633	EBP;MDH1;EIF1AX;TCEA1;RAF1
MORF_BNIP1	4/190	0.17669045471727	0.74151046120556	-1.22486723638119	0.3663161563522	USP46;FNTB;ADCY3;IL16
MODULE_244	4/187	0.17004080569874	0.74151046120556	-1.22007383293242	0.36488261231164	WEE1;CDK6;CAMK1;SMC2
MODULE_212	6/329	0.17828592890336	0.74151046120556	-1.21904536603915	0.36457503282213	EBP;MDH1;CADM1;PEBP1;CAMK1;COMT
MORF_FOSL1	7/409	0.19077251273116	0.74151046120556	-1.21159576261605	0.36234710965524	USP46;AGPS;FNTB;NF1;ADCY3;IL16;MAP2K7
GNF2_SELL	2/47	0.10575281128762	0.74151046120556	-1.19448037669337	0.35722847948908	PAK2;SKAP2
MODULE_403	2/46	0.10216164853584	0.74151046120556	-1.16332472246531	0.34791088231081	WEE1;CCNE2
MORF_DAP3	4/193	0.18342851646892	0.74151046120556	-1.16017563072154	0.34696909600997	EBP;MDH1;EIF1AX;TCEA1
MODULE_54	5/263	0.18638719130845	0.74151046120556	-1.13868158521073	0.34054095759454	CCNE2;IMPAD1;SNRPA1;CNIH4;SMC2
GNF2_DENR	2/51	0.12044459349365	0.74151046120556	-1.12404058369835	0.33616233169954	RBM15;COPB1
MORF_GSPT1	2/49	0.11303565835986	0.74151046120556	-1.11987478016648	0.33491648146158	G3BP1;SNRPA1
MODULE_532	7/413	0.19703745155765	0.74151046120556	-1.08402542280653	0.32419515721864	UGCG;BCL2L13;ASXL2;STRN;SOX6;SNX5;RPAP3
MORF_PHB	3/123	0.17061009291438	0.74151046120556	-1.07985419374473	0.3229476843891	EBP;SFSWAP;PLIN3
MORF_RAB1A	4/194	0.18569352982304	0.74151046120556	-1.07750771257532	0.32224593162977	TMEM59;GMFB;MDH1;RAF1
MORF_BAG5	2/57	0.14333744671782	0.74151046120556	-1.03617914663189	0.30988596234145	BAG5;GMFB
MORF_MAP2K2	3/131	0.19322120496025	0.74151046120556	-1.00567607105664	0.30076352925666	MDH1;TCEA1;LSM4
MODULE_430	2/55	0.13560419577407	0.74151046120556	-1.00281863571821	0.29990896747305	HP1BP3;TTC7A
MORF_MAGEA9	7/428	0.22124157759632	0.74151046120556	-0.9937502955755	0.29719693517526	USP46;FNTB;NF1;ADCY3;IL16;MAP2K7;RBMS3
MODULE_8	7/421	0.20981123067917	0.74151046120556	-0.99353470117459	0.29713245821815	WEE1;EBP;GMFB;STAU1;DHX9;COPB1;DCAF11
MORF_SOD1	5/277	0.21414611204478	0.74151046120556	-0.98159851601964	0.29356275095715	MDH1;G3BP1;PTPN11;SNRPA1;LSM4
MORF_RAB11A	2/59	0.15116193243136	0.74151046120556	-0.98103476866352	0.29339415328508	BAG5;GMFB
GNF2_CENPF	2/62	0.16305251792324	0.74151046120556	-0.9468464693584	0.28316959504588	SMC2;TMPO
MODULE_248	3/129	0.18749676168683	0.74151046120556	-0.93329685460053	0.27911736583219	PTPN11;BRAF;IL16
GNF2_CDC2	2/62	0.16305251792324	0.74151046120556	-0.93122606264843	0.2784980623469	SMC2;TMPO
MORF_MDM2	5/282	0.22437161320204	0.74151046120556	-0.93025105438009	0.27820647051502	FNTB;ADCY3;IL16;MAP2K7;RBMS3
MORF_SS18	2/61	0.15906974820796	0.74151046120556	-0.92548489772738	0.27678107506502	SFSWAP;PLIN3
MODULE_254	2/60	0.15510590613331	0.74151046120556	-0.9239060432114	0.2763088933456	WEE1;CDK6
MORF_FSHR	5/282	0.22437161320204	0.74151046120556	-0.92375934276855	0.27626502022959	USP46;FNTB;IL16;MAP2K7;RBMS3
MORF_SMC1L1	2/62	0.16305251792324	0.74151046120556	-0.89899631274552	0.26885923966151	EIF1AX;G3BP1
MORF_ACP1	4/210	0.22309693466558	0.74151046120556	-0.86930307526034	0.25997900162252	SMARCC1;EIF1AX;TCEA1;RHOA
MORF_ETV3	2/64	0.17107116895032	0.74151046120556	-0.8583995067541	0.25671811490183	FNTB;NF1
MODULE_459	7/437	0.23626095933615	0.74151046120556	-0.85653236882557	0.25615971741266	UGCG;BCL2L13;ASXL2;STRN;SOX6;SNX5;RPAP3
MODULE_322	2/59	0.15116193243136	0.74151046120556	-0.84917381395307	0.25395902377245	IFNAR2;UGCG
MORF_CSNK2B	5/287	0.23474386690517	0.74151046120556	-0.83855330796845	0.25078279143049	MDH1;TCEA1;PTPN11;SNRPA1;LSM4
MORF_TERF1	2/65	0.17510525955543	0.74151046120556	-0.83293359925442	0.24910212757175	EIF1AX;TCEA1
MODULE_378	7/441	0.2430454829337	0.74151046120556	-0.82691786037618	0.24730302455222	UGCG;BCL2L13;ASXL2;STRN;SOX6;SNX5;RPAP3
MORF_RBBP8	4/213	0.23032684246417	0.74151046120556	-0.8077963643999	0.24158443505804	SFSWAP;AGPS;PLIN3;PAFAH1B1
