source	target
TMEM64	PSMD12
TMEM88	DBN1
TMEM88	ALPK3
TNPO1	GNA13
TP53INP2	CDH2
TRA2B	SRFBP1
TRA2B	M6PR
UBE2H	GABARAPL2
UBE2H	ARHGEF12
UBE2H	FOXO3
UBE2M	DNAJB1
UBE2M	MAP2K2
YIPF4	FPR2
ZFR	SMEK2
ZNF217	SIAH1
ZNF217	CRLF3
ZNF217	BACH1
ZNF217	PRDM2
ZNF217	PTGS2
ZNF217	NFYA
ZNF217	OTUD1
ZNF217	DNAJB6
ZNF217	AMD1
ZNF217	NUFIP2
ZNF33A	COA1
ZNF33A	LXN
ZNF33A	AOC3
ZNF33A	MEGF6
ZNF33A	EIF5A
ZNF33A	GABARAPL1
ZNF33A	MGEA5
ZNF33A	LOC100506268
