source	target
CIITA	GAB3
CIITA	LAG3
CIITA	ETV7
MAP3K5	NAB1
USP32P2	USP32
USP32	CSRNP2
USP32	STEAP2
MAOA	KBTBD11
MAOA	ADAMTS3
KBTBD11	S100A7
KIAA1033	UBR5
KIAA1033	KLHL15
KIAA1033	MED13L
KIAA1033	SNAPC5
KIAA1033	MED6
KIAA1033	ZNF432
KLHL15	C9orf72
MED13L	ATG7
MED13L	TXNL1
MED13L	C6orf62
MED13L	ATG12
MED13L	ATXN7
MED13L	SRSF4
MED6	GUSBP3
MED6	PIKFYVE
ZNF432	THADA
ZNF432	C16orf95
FAM118B	SGPP2
FAM118B	SPA17
FAM118B	METTL2B
FAM118B	QRSL1
FAM118B	SPIN2A
METTL2B	RBM3
QRSL1	RPP30
QRSL1	SELRC1
TCEB3	FOXO1
TCEB3	ILF3
TCEB3	THRAP3
TCEB3	SRRM1
TCEB3	SMC1A
TCEB3	CUX1
TCEB3	TOB2
TCEB3	KLF6
TCEB3	IL6R
ILF3	EP400
THRAP3	CALD1
THRAP3	THRA
SRRM1	ILF3
TOB2	THRA
ACY3	FNIP2
GALNT3	SOX9
GALNT3	KIAA1244
GALNT3	RAB27A
SOX9	GPC4
SOX9	C3orf70
SOX9	PRSS16
SOX9	SPRY1
KIAA1244	LYPD6
KIAA1244	DOPEY2
KIAA1244	BTC
KIAA1244	FAM84A
KIAA1244	HMOX1
KIAA1244	RAB11A
KIAA1244	GALNT5
KIAA1244	RNASE4
RAB27A	GNA14
RAB27A	DNAJC12
METTL7B	AGMAT
METTL7B	DDC
METTL7B	OSTBETA
METTL7B	ITGA7
METTL7B	KBTBD11
METTL7B	PPP1R14D
METTL7B	LINC00341
METTL7B	CEP112
METTL7B	SLC27A4
OSTBETA	USP2
OSTBETA	MASP1
OSTBETA	TAT
OSTBETA	C3orf80
OSTBETA	STXBP1
PPP1R14D	TMEM53
LINC00341	BHLHE41
LINC00341	TMSB15A
LINC00341	FNBP1
SLC27A4	AGPAT2
SLC27A4	SLC52A3
SLC27A4	AKR7A3
SCNN1B	TRIM14
SCNN1B	APOBR
SCNN1B	KLK15
SCNN1B	SCNN1G
SCNN1B	BEST2
APOBR	LGALS9
APOBR	ERN2
APOBR	TBL1X
APOBR	ACE
APOBR	SOS1
APOBR	NANS
APOBR	MICAL2
APOBR	LIMK2
APOBR	FLJ90757
APOBR	MTFP1
APOBR	RDH10
SCNN1G	FAM43A
BEST2	KLK3
BEST2	KIAA1984
EIF1AY	RPS4Y1
RPS4Y1	UTY
RPS4Y1	NCRNA00185
RPS4Y1	EIF1AX
RPS4Y1	TXLNG2P
JAM2	THSD7A
THSD7A	FAM171B
THSD7A	PALMD
THSD7A	MAP2
HP1BP3	ZC3H11A
ZC3H11A	AZI2
ZC3H11A	GTF3C3
UBE2H	CDS2
CDS2	PDS5B
CDS2	MSANTD3
CDS2	KIAA0247
HOPX	C17orf103
C17orf103	ABCA6
AGR3	CYP51A1
TSHZ3	PLK2
PLK2	FZD10
PHLPP2	CNKSR3
PHLPP2	GCOM1
PHLPP2	EPB41L5
PHLPP2	SLC35D2
PHLPP2	GCNT2
PHLPP2	TRIM36
PHLPP2	SEMA6A
PHLPP2	LOC728730
PHLPP2	LINC00483
PHLPP2	KCNK5
PHLPP2	KLF2
PHLPP2	ACOX1
GCOM1	HIST1H2AB
EPB41L5	ZDHHC21
GCNT2	ADH6
GCNT2	LOC729970
GCNT2	LRFN5
TRIM36	FABP2
SEMA6A	PLA2G12A
SEMA6A	INSR
SEMA6A	LOC253842
SEMA6A	PSMG4
LINC00483	PANK1
LINC00483	XYLB
KCNK5	HNF4A
KCNK5	ABCB1
KLF2	EIF4A1
ACOX1	FAM47E
ACOX1	ENPP1
ACOX1	OSTBETA
ACOX1	ADORA3
ACOX1	LOC253842
ACOX1	TMEM37
ACOX1	PTPRF
PTPN13	PRUNE2
PRUNE2	GPC4
NASP	ZNF638
NASP	RAB11FIP3
NASP	EWSR1
ZNF638	HELLS
RAB11FIP3	MTDH
RAB11FIP3	C3orf14
EWSR1	CAND1
EWSR1	GNG12
EWSR1	FTX
EWSR1	ZFP90
EWSR1	PHF11
EWSR1	CLK4
BAZ2A	UGGT1
UGGT1	EIF2C2
KIAA1804	AGAP1
KIAA1804	LOC284244
KIAA1804	LOC100506730
AGAP1	SNX24
AGAP1	GK5
VEGFC	CFH
VEGFC	LAYN
NAIP	LOC100509323
SERINC5	USP53
SERINC5	SPAG16
SERINC5	MARCKS
SERINC5	GK3P
SERINC5	CDC42EP2
SERINC5	KIAA1715
SERINC5	MID1
SERINC5	SYTL3
SPAG16	LRIG3
SPAG16	RBM24
SPAG16	BCAP29
SPAG16	IFT57
SPAG16	THAP10
MARCKS	SLC25A22
MARCKS	HIP1R
GK3P	DUSP5
GK3P	BNIP3
GK3P	CPPED1
GK3P	TNFRSF10B
CDC42EP2	FST
KIAA1715	PPM1L
KIAA1715	COX7B
KIAA1715	VMO1
KIAA1715	PDE8A
KIAA1715	FAM179A
KIAA1715	SBF2
NOS2	CASP5
NOS2	PDZK1IP1
NOS2	FAM83A
