source	interaction_type	target
S1PR1	bn	ARL4C
S1PR1	bn	FAM76A
DPYD	bn	EIF4G3
DPYD	bn	ADAM9
DPYD	bn	ZEB2
DPYD	bn	PIK3AP1
LRMP	bn	FGFR1OP
LRMP	bn	FRY
LRMP	bn	UNKL
SRD5A1	bn	CALU
SRD5A1	bn	CYP51A1
SRD5A1	bn	CSNK2A1
SRD5A1	bn	CITED2
PDE4A	bn	P2RY2
CENPC1	bn	KRT79
IARS	bn	ARL1
NAP1L3	bn	KIAA2022
RCBTB2	bn	C5orf58
FEN1	bn	ERVW-1
IL11RA	bn	SEC31B
IL11RA	bn	RPS16
IL11RA	bn	KRTCAP2
IL11RA	bn	LOC100507307
EVI2A	bn	NAT1
MAL	bn	PLEKHB1
MAL	bn	BDH1
MAL	bn	TCEA3
MAL	bn	SUSD3
MAL	bn	RGCC
MAL	bn	PCED1B
MAL	bn	NOG
PPOX	bn	HSPB1
PPOX	bn	WDR60
PPOX	bn	PRR5
NR2C1	bn	CEP95
GPRASP1	bn	BNIP3
GPRASP1	bn	GSPT2
GPRASP1	bn	ADTRP
GPRASP1	bn	HNRNPU
MYB	bn	SCD
ENDOG	bn	RUVBL2
ENDOG	bn	MIR4691
ENDOG	bn	NR2F6
ENDOG	bn	POLR2I
ENDOG	bn	TIMM13
ENDOG	bn	MRPL24
ENDOG	bn	NENF
ENDOG	bn	C9orf114
ENDOG	bn	BOLA1
ENDOG	bn	MRPL52
ENDOG	bn	PHF19
CDK8	bn	ZNF23
POP5	bn	LOC283270
POP5	bn	TAF1C
POP5	bn	TGFB3
APAF1	bn	APLP2
APAF1	bn	STK4
APAF1	bn	CWF19L1
ICT1	bn	SNHG15
PEX1	bn	REV1
PEX1	bn	CCNJ
LCK	bn	IL32
LCK	bn	CD3E
LCK	bn	SIT1
LCK	bn	LY9
AOC3	bn	SEMG1
AOC3	bn	AOC2
AOC3	bn	MPPE1
AOC3	bn	LOC728392
SAP30	bn	SLC1A3
SAP30	bn	DDIT4
SAP30	bn	CD163
SAP30	bn	SH3PXD2B
SAP30	bn	PER1
TLR2	bn	LOC339874
TLR2	bn	IL13RA1
TLR2	bn	MB21D2
TLR2	bn	NUDT16
TLR2	bn	LOC100509205
RASSF7	bn	RPUSD3
ORC5	bn	MCM6
ORC5	bn	PHYH
ORC5	bn	PSMG1
ORC5	bn	DNAJC9
PTPRCAP	bn	LSM7
PTPRCAP	bn	MRPL9
MAFG	bn	CLEC5A
AMMECR1	bn	LARS
DDX10	bn	CACNA1D
TRAPPC6A	bn	ZNF581
GNAZ	bn	NRGN
GNAZ	bn	HGD
GNAZ	bn	CTTN
GNAZ	bn	RBPMS2
GNAZ	bn	EHD3
NMT2	bn	PGM5-AS1
HAGH	bn	ZDHHC2
TGFA	bn	TM6SF1
RAD51	bn	TPX2
DEFA1	bn	BPI
LSM6	bn	CAMTA1
LSM6	bn	ENSA
GPR162	bn	SDC2
ARID4A	bn	LPP
CRIP1	bn	S100A10
NAGPA	bn	PDE4A
NAGPA	bn	TTYH2
CIITA	bn	ZNF618
CIITA	bn	LOC100505564
FPR1	bn	SPG11
PLCD1	bn	LOC440288
VRK2	bn	RCN1
VRK2	bn	FANCL
VRK2	bn	GBP3
VRK2	bn	FAM26F
HSPE1	bn	NGDN
FPGT	bn	FAM72A
ANG	bn	RNASE1
ANG	bn	RNASE4
ANG	bn	RNASE6
QPCT	bn	TMEM185B
QPCT	bn	CHIC2
QPCT	bn	TLR4
QPCT	bn	CCDC71L
ITGB3BP	bn	NXPE3
ATP7A	bn	BCL10
RELB	bn	TNFRSF10B
RIN1	bn	PVR
IL1RAP	bn	RNF13
IL1RAP	bn	UBE2B
IL1RAP	bn	STXBP5
TRMT2B	bn	VHL
TRMT2B	bn	FGD2
TRMT2B	bn	CXorf56
SCO2	bn	NCAPH2
TCF7	bn	SPOCK2
TCF7	bn	DGKA
TCF7	bn	TSHZ2
INHBB	bn	HRH2
NR3C2	bn	NAP1L3
NR3C2	bn	MID2
NR3C2	bn	MRPS30
NR3C2	bn	SFMBT1
POU2AF1	bn	KIAA0125
POU2AF1	bn	IGHM
IL2RB	bn	AUTS2
IL2RB	bn	ERBB2
CD79B	bn	FCRLA
FTSJ1	bn	C10orf57
FTSJ1	bn	SIDT1
FTSJ1	bn	SMYD4
GNA15	bn	FAM129B
GNA15	bn	C10orf11
GNA15	bn	LOC100506119
INPP4B	bn	AMMECR1
INPP4B	bn	NEFL
ACHE	bn	PQLC1
IL1R2	bn	NFE4
IL1R2	bn	PHC2
IL1R2	bn	NFKBIA
IL1R2	bn	PFKFB4
IL1R2	bn	LOC100289251
IL1R2	bn	KCNE1
RECK	bn	UNK
FOXO4	bn	PHOSPHO1
FOXO4	bn	SEC14L4
HOXB2	bn	HOXB-AS3
CD3E	bn	TRBC1
CD3E	bn	IL23A
PDGFA	bn	JAM3
ISG15	bn	IFI6
SIT1	bn	PTPRCAP
SIT1	bn	RAB33A
GZMA	bn	C1orf21
GZMA	bn	C12orf75
GSPT2	bn	TRIM32
CR2	bn	ZDHHC23
LAMP3	bn	C9orf91
PIP4K2A	bn	ENTPD5
PIP4K2A	bn	DCAF10
PIP4K2A	bn	HEMGN
PYGM	bn	ITGAD
PYGM	bn	C3orf25
ALG13	bn	METTL3
ALG13	bn	FCF1
RASGRP1	bn	LINS
RASGRP1	bn	CYP4V2
RASGRP1	bn	NAP1L5
RASGRP1	bn	ZNF805
RASGRP1	bn	TTC39B
SLC4A1	bn	PNP
SLC4A1	bn	FHL2
SLC4A1	bn	RNF123
PDE9A	bn	GPRC5B
CDA	bn	ACSM3
REPS2	bn	FAM138A
REPS2	bn	TBC1D1
XPA	bn	E2F6
XPA	bn	GGA2
XPA	bn	GPN1
XPA	bn	UBE3A
XPA	bn	CAMSAP1
XPA	bn	CCDC104
XPA	bn	BOD1
BCL2A1	bn	NDUFB3
BCL2A1	bn	LY96
DENND4C	bn	ZKSCAN1
CD86	bn	LOC439914
CD86	bn	CPVL
CD86	bn	PLXNB2
CD86	bn	RTN1
CD86	bn	ALDH1A1
CD86	bn	GOLM1
CD86	bn	KCTD15
MAP2K6	bn	BMX
MAP2K6	bn	CARD6
PHTF1	bn	GTF2H2
PHTF1	bn	PAG1
ITGB7	bn	PFKP
ITGB7	bn	EBP
ABLIM3	bn	ALOX12
BIK	bn	HSD3B7
ITGAM	bn	WSB1
SKAP1	bn	PWP1
SKAP1	bn	GTPBP8
SKAP1	bn	SLAMF1
ZNF230	bn	ZNF222
RASGRP3	bn	SWAP70
MARCO	bn	STEAP3
KLRC4-KLRK1	bn	CRTAM
KLRC4-KLRK1	bn	CMC1
CD2	bn	C1orf216
S100A12	bn	RAI2
TREX1	bn	CD300LB
ZBTB16	bn	NEO1
ZBTB16	bn	RASGEF1A
HK3	bn	SMARCD3
HK3	bn	ITGA7
HK3	bn	GALNT14
HK3	bn	UPB1
HK3	bn	OPLAH
HK3	bn	S100A6
HK3	bn	ZNF585A
CA1	bn	PIP4K2A
CA1	bn	HBD
CA1	bn	AHSP
CA1	bn	COG1
HIST1H4A	bn	UQCR11
HIST1H4A	bn	PCIF1
IL15	bn	CASP7
RBM19	bn	LOC100507360
REL	bn	RC3H2
REL	bn	PLEKHA2
RNH1	bn	SLC38A7
RNH1	bn	G6PC3
KEL	bn	AQP1
KEL	bn	TMEM158
KEL	bn	BCAM
HIST1H3H	bn	HIST1H2AB
HIST1H3H	bn	HIST1H2BJ
RAB5A	bn	TTPAL
STAT4	bn	CELSR3
STAT4	bn	DLG3
STAT4	bn	PRKCH
STAT4	bn	GPR89A
STAT4	bn	C19orf12
STAT4	bn	CLUAP1
CD33	bn	PLXNB2
CXCR5	bn	C12orf42
CXCR5	bn	CD40
CXCR5	bn	BEND5
CXCR5	bn	PMEPA1
CXCR5	bn	CYBASC3
CXCR5	bn	SPIB
CD27	bn	PEBP1
CD27	bn	DANCR
CD27	bn	SLC25A23
CD27	bn	ATG9B
PTX3	bn	PIWIL4
ADORA3	bn	GFOD1
ADORA3	bn	C10orf128
ARG1	bn	GTDC1
ARG1	bn	ST6GALNAC1
HERC3	bn	TOP1
ZNF623	bn	SKP2
ZNF623	bn	STX17
ZNF623	bn	LOC100287497
CD180	bn	PIGZ
CLC	bn	SORD
CLC	bn	HRASLS5
CA4	bn	KIF3C
CA4	bn	DUSP13
PLA2G7	bn	TDRD6
PROC	bn	PNMA6A
DAPK2	bn	GATS
DAPK2	bn	ST6GALNAC2
DAPK2	bn	SH3RF3
CCR7	bn	CD248
CCR7	bn	REG4
CCR7	bn	SH3PXD2A
CCR7	bn	ATP6V0E2-AS1
PDK3	bn	HTATIP2
PDK3	bn	KLF5
PDK3	bn	PRKACA
PDK3	bn	MSRB2
PDK3	bn	AKIRIN2
PTGDR2	bn	SIGLEC8
PTGDR2	bn	CCR3
PTGDR2	bn	ASB2
TNNI2	bn	RBP7
CD19	bn	PNOC
CD19	bn	IGHM
CD19	bn	P2RX5
CD19	bn	LCN10
ASAP2	bn	PDGFC
ASAP2	bn	CA13
S1PR4	bn	FUT7
S1PR4	bn	MYO7B
BMX	bn	WIPI1
BMX	bn	CA4
BMX	bn	OSBPL1A
BMX	bn	FCAR
BMX	bn	RAB31
BMX	bn	ZDHHC3
BMX	bn	TSHZ3
BMX	bn	RALGAPA2
BMX	bn	RGL4
LAG3	bn	COL6A2
LAG3	bn	TMPRSS3
LAG3	bn	LOC79015
LAG3	bn	FAM125B
CD36	bn	SCCPDH
ITGA2B	bn	THBS1
ITGA2B	bn	CLU
ITGA2B	bn	LMNA
AIM2	bn	CARD16
AIM2	bn	NRN1
CYP4F3	bn	MOSPD2
RGS9	bn	BFSP1
RGS9	bn	MXRA7
MGAM	bn	LOC100631377
CD28	bn	CDR2
SETMAR	bn	LOC100506676
IL24	bn	PRR4
IL24	bn	RNFT2
IL24	bn	DDX31
IL24	bn	C5orf63
MAP4K4	bn	CDKN2D
ZNF673	bn	ATPIF1
ZNF673	bn	LOC100132057
ZNF673	bn	LOC440944
ZNF673	bn	PRORSD1P
LY96	bn	SLPI
SLC16A5	bn	CCDC58
RPGRIP1	bn	CASS4
RPGRIP1	bn	SULF2
RPGRIP1	bn	TMCC1
IL18R1	bn	IRAK3
IL18R1	bn	ERLIN1
IL18R1	bn	IL1R1
IL18R1	bn	ACSL1
IL18R1	bn	SAMSN1
IL18R1	bn	SLC22A15
IL18R1	bn	LOC284757
TNFRSF17	bn	IGJ
TNFRSF17	bn	SEC11C
ZMYM5	bn	TRDMT1
GP1BB	bn	NRGN
GP1BB	bn	GP9
GP1BB	bn	PTCRA
GP1BB	bn	TMEM40
GP1BB	bn	ACRBP
GP1BB	bn	GAS2L1
C20orf3	bn	CLEC4D
C20orf3	bn	FKBP9
CEACAM8	bn	DEFA4
CEACAM8	bn	CHIT1
CEACAM8	bn	CEACAM6
CEACAM8	bn	OLFM4
CLEC10A	bn	FPR3
XK	bn	CA1
XK	bn	GYPA
ALOX15B	bn	VSIG4
TFEC	bn	IL15
TFEC	bn	FANCL
LPAR2	bn	DDIT3
LPAR2	bn	CCDC153
ASGR1	bn	CATSPER1
ASGR1	bn	TNFSF12
CHST7	bn	MAFF
FCER2	bn	PKIG
FCER2	bn	HS3ST1
FCER2	bn	VPREB3
RNASE3	bn	RNASE2
FKBP1B	bn	RSRC1
ELANE	bn	MPO
ELANE	bn	CTSG
ELANE	bn	AZU1
SLK	bn	TNFSF13B
MXD1	bn	AP5B1
GP9	bn	LOC283194
GP9	bn	NAT8
GP9	bn	NXN
NAT8B	bn	NAT8
NAT8B	bn	DENND2C
LTA	bn	DBH-AS1
CCR2	bn	HNMT
CCR2	bn	TFEC
CCR2	bn	DYNC1I2
CCR2	bn	VCAN
FLT3LG	bn	LTA
HDC	bn	CPA3
HDC	bn	GATA2
HDC	bn	TRIM51
HDC	bn	AKAP12
HDC	bn	SLC45A3
HDC	bn	C1orf186
IL18RAP	bn	CCDC30
MED6	bn	TTLL5
MFN1	bn	PUS10
MAPK6	bn	SLMO2
MAPK6	bn	TMEM68
LETMD1	bn	ZNF573
LETMD1	bn	PHF10
LETMD1	bn	ZNF275
LETMD1	bn	EID2B
HTATIP2	bn	HGF
HTATIP2	bn	ATP6V0E1
SLC22A1	bn	LOC388210
CEACAM4	bn	WDFY4
ALOX12	bn	EHD2
SIGLEC7	bn	LOC100506585
SIGLEC7	bn	ZBTB47
KCNA3	bn	PTCD2
KCNA3	bn	EEF2K
KCNA3	bn	ITPKB
PTPRC	bn	CRK
PTPRC	bn	EIF1AY
DEFA4	bn	DEFA1
DEFA4	bn	RNASE3
DEFA4	bn	BEX1
CD300C	bn	LOC100509484
CD300C	bn	FAM129B
ACSL1	bn	C9orf84
ACSL1	bn	MEF2A
ACSL1	bn	FAM129A
ACSL1	bn	C1RL
ACSL1	bn	STEAP4
ACSL1	bn	RBM47
ACSL1	bn	PLBD1
ACSL1	bn	FBXO38
ACSL1	bn	TBC1D14
ACSL1	bn	CR1
TRAPPC8	bn	CUL3
TRAPPC8	bn	PIK3CA
TRAPPC8	bn	PTPRC
TRAPPC8	bn	AVL9
ATP5I	bn	PIN4
SH2D2A	bn	DUSP2
GALNT10	bn	AMFR
GK	bn	ATP6V1D
GK	bn	GK3P
GK	bn	MIR21
GP1BA	bn	SERPINE1
GP1BA	bn	SEC14L5
ALG3	bn	WWOX
ALG3	bn	KTI12
ALG3	bn	CCDC42B
ALG3	bn	C8orf82
ALG3	bn	TMEM229B
RAD17	bn	ZWILCH
ZNF177	bn	KSR1
DEGS1	bn	FAM120AOS
NR2E1	bn	C3AR1
CAND1	bn	CEP290
EXOSC10	bn	CLSTN1
EXOSC10	bn	MLL
EXOSC10	bn	TH1L
NUMB	bn	PDZD8
NUMB	bn	C16orf72
NUMB	bn	GPR27
SULT1B1	bn	NDUFB3
SULT1B1	bn	BST1
SULT1B1	bn	ARG1
SULT1B1	bn	GPR160
SULT1B1	bn	INSC
ZNF117	bn	CLEC7A
ARHGAP12	bn	BTG1
CUL1	bn	APOL3
BCS1L	bn	COQ4
BCS1L	bn	FAHD2B
RPGR	bn	PIGB
RPGR	bn	MYH10
RPGR	bn	TSFM
RPGR	bn	LRRFIP1
WBSCR22	bn	BCAT2
BLNK	bn	RASGRP3
BLNK	bn	CD180
BLNK	bn	BCL11A
BLNK	bn	LARGE
BLNK	bn	AKAP2
BLNK	bn	PRICKLE1
BEST1	bn	CEACAM4
BEST1	bn	C1R
BEST1	bn	NSFL1C
BEST1	bn	ALPK1
BEST1	bn	LOC100507297
CEP170	bn	ERLIN2
CEP170	bn	HOOK3
MUTYH	bn	KIAA1467
MUTYH	bn	C3orf18
GAGE1	bn	GOLGA6L1
CACNB2	bn	C2orf43
CACNB2	bn	NSUN6
SP140	bn	RNF213
RAB1A	bn	CAT
GORASP2	bn	SNORA29
ABCB4	bn	ABCB1
ABCB4	bn	MAGED4
SNCA	bn	TBC1D22B
ANAPC10	bn	TRAPPC2
GYPE	bn	PAQR9
MMP25	bn	SLCO3A1
MMP25	bn	CCNJL
MMP25	bn	SLC12A9
MMP25	bn	CCDC64B
TNFSF14	bn	MAP1LC3A
GNRH1	bn	PSMB1
GNRH1	bn	PATL2
TTC3	bn	NUP133
TTC3	bn	ZNF202
TTC3	bn	LETMD1
TTC3	bn	NOLC1
TTC3	bn	TDRD3
TTC3	bn	ALMS1
TTC3	bn	PCYOX1L
TTC3	bn	GLT8D1
ZBP1	bn	CACNA1A
ZBP1	bn	PRIC285
CPVL	bn	GPNMB
CPVL	bn	LOC100652886
CPVL	bn	CD33
CHIT1	bn	INHBA
CHIT1	bn	HTRA3
KIR2DS5	bn	KIR3DL3
SIGLEC8	bn	ALOX15
SIGLEC8	bn	SMPD3
GGT1	bn	GGTLC1
TNFAIP8	bn	CDC37L1
RBM3	bn	WIBG
DARC	bn	CTSB
DARC	bn	C11orf71
TECR	bn	UBE2I
TECR	bn	RHOF
TECR	bn	FBXO31
TECR	bn	LOC128322
TECR	bn	MRPL38
SP110	bn	TRANK1
CTNND1	bn	ADRBK2
CTNND1	bn	GPR133
IRF7	bn	OASL
IRF7	bn	PARP10
ACTG1P4	bn	LOC100507212
HIST1H2BC	bn	HIST1H2BH
HIST1H2BC	bn	H2BFS
HIST1H2BH	bn	HIST1H2AD
HIST1H2BH	bn	HIST1H2BD
HIST1H3A	bn	TK1
HIST1H3A	bn	PTTG1
H2BFS	bn	HIST1H2BK
HIST1H2AJ	bn	HIST2H2AA3
HIST1H2AJ	bn	HIST1H2AD
PTP4A2	bn	PSMD5
PTP4A2	bn	TM2D1
PTP4A2	bn	LMAN1
PTP4A2	bn	NUDT3
YBX1	bn	ALS2CR12
ACTN1	bn	IL17RA
SERINC1	bn	STRN
PA2G4	bn	ST13
PA2G4	bn	EIF3B
BSG	bn	DPCD
BSG	bn	ALAD
BSG	bn	RNF187
BSG	bn	FAM211A
PRDX1	bn	LGALS1
PRDX1	bn	EID1
PRDX1	bn	VDAC3
CAPN2	bn	USP14
CAPN2	bn	SUPT7L
CAPN2	bn	ACAA2
CAPN2	bn	YWHAQ
CAPN2	bn	RACGAP1
CAPN2	bn	RHOU
BRD2	bn	BHLHE40
BRD2	bn	SMARCC2
BRD2	bn	CTBP1
PDLIM1	bn	CLIC4
PDLIM1	bn	CPNE5
PDLIM1	bn	FAM69B
EIF3E	bn	RPL5
EIF3E	bn	NSA2
EIF3E	bn	ZNHIT3
EIF3E	bn	C12orf29
EIF3E	bn	ARV1
APLP2	bn	DAPK1
APLP2	bn	NCSTN
AP3D1	bn	NFIC
NDUFV1	bn	SRM
NDUFV1	bn	SNRPA
NDUFV1	bn	CIB1
NDUFV1	bn	MAP4K1
NDUFV1	bn	PAAF1
NDUFV1	bn	LOC100130093
NDUFV1	bn	C17orf61-PLSCR3
TMCO1	bn	POLR2K
TMCO1	bn	SNRPE
TMCO1	bn	SUB1
TMCO1	bn	COX16
TMCO1	bn	DPY30
TMCO1	bn	SMAD2
USP11	bn	SLFNL1
USP11	bn	RHOBTB2
USP11	bn	SOX12
USP11	bn	MAGED1
USP11	bn	IPO4
ATP6V1G1	bn	HNRNPC
ATP6V1G1	bn	PSMA2
SUMO2	bn	RAB8A
SUMO2	bn	TOMM22
ARF1	bn	CARHSP1
ARF1	bn	KCTD20
EIF3I	bn	NME1-NME2
EIF3I	bn	RSL1D1
EIF3I	bn	DCTPP1
ATIC	bn	DDX24
ATIC	bn	LDOC1
ATIC	bn	HIRIP3
ATIC	bn	IL18BP
ATIC	bn	MLLT6
ATIC	bn	DCP1B
ATIC	bn	TRIM35
ATIC	bn	CMTM8
HNRNPR	bn	DHX9
XPO1	bn	SEPSECS
CD46	bn	ZBED6
CD46	bn	SMCHD1
CD46	bn	TBK1
MAP1LC3B	bn	USP32
MAP1LC3B	bn	CYBRD1
MAP1LC3B	bn	PCTP
MAP1LC3B	bn	STK40
MAP1LC3B	bn	FOXO3
CLU	bn	GP6
CLU	bn	PTGS1
CCNG1	bn	PNMA1
SRP72	bn	EIF3J
SRP72	bn	NT5C1B-RDH14
SRP72	bn	TRMT10C
SRP72	bn	CRLS1
SRP72	bn	PIGY
SRP72	bn	DNM1L
SRSF6	bn	GCFC2
SRSF6	bn	NOC3L
SRSF6	bn	DCAF13
SRSF6	bn	AASDH
KIAA0391	bn	GLRX
HMGB2	bn	PDE5A
HMGB2	bn	YIPF4
C6orf62	bn	CLCN3
C6orf62	bn	NUDT4
C6orf62	bn	CDK12
DNAJB6	bn	LOC100653229
COMT	bn	TUSC1
G3BP2	bn	PPP1R2
G3BP2	bn	FGD5-AS1
G3BP2	bn	CCNY
G3BP2	bn	ZBTB44
ADH5	bn	CMC2
ESYT1	bn	DUSP7
ESYT1	bn	TEX10
ESYT1	bn	SEMA4C
ESYT1	bn	OGFOD1
ESYT1	bn	EEF2K
ESYT1	bn	ACACB
ATRX	bn	JPX
ATRX	bn	BLZF1
ATRX	bn	AKD1
ATRX	bn	TPR
ATRX	bn	ASH1L
ATRX	bn	LOC100507645
PAK2	bn	KIAA0240
UBR5	bn	MED17
UBR5	bn	LOC100506748
UBR5	bn	RNFT1
EIF3G	bn	RPL18A
EIF3G	bn	LSM4
PLXNB2	bn	UGGT2
PLXNB2	bn	LRP1
PLXNB2	bn	CSF1R
PLXNB2	bn	KCNMB1
PLXNB2	bn	MS4A7
DUSP6	bn	ADAMTS5
DDX18	bn	EPRS
DDX18	bn	KCNA3
DDX18	bn	SYNCRIP
DDX18	bn	NEK1
DDX18	bn	LOC283788
DDX18	bn	SUPT16H
TOP1	bn	RBBP5
TOP1	bn	FOXN3
TOP1	bn	FAM103A1
TOP1	bn	LOC100505937
MRPS18B	bn	PPIE
C1QBP	bn	CCDC109B
CNP	bn	AXL
CNP	bn	LRRC33
CNP	bn	KLHDC7B
GGA2	bn	LOC202181
SLC1A5	bn	DPCD
SLC1A5	bn	TGM2
CYFIP1	bn	CPED1
RNF11	bn	SYCP3
RNF11	bn	KAT2B
RNF11	bn	FBXL4
RNF11	bn	YOD1
POR	bn	JMJD6
POR	bn	LRG1
ILF3	bn	YLPM1
ILF3	bn	DKC1
ILF3	bn	TMEM245
PPP4C	bn	ARPC4
SEPHS1	bn	RBM26-AS1
TGFBR2	bn	PHF2
UPF1	bn	DHTKD1
UPF1	bn	VRK3
KLF6	bn	MXD1
KLF6	bn	C10orf46
KLF6	bn	PHF12
NDUFA9	bn	AKR1A1
NDUFA9	bn	CCDC56
NDUFA9	bn	C19orf10
NDUFA9	bn	NOL10
UROD	bn	PPOX
UROD	bn	ST7
ATP5G1	bn	LOC148413
TCF12	bn	KLHL20
TCF12	bn	XPO1
TCF12	bn	PRMT3
TCF12	bn	MSANTD4
TCF12	bn	ATP5G3
HNRNPH3	bn	PIKFYVE
HNRNPH3	bn	C11orf30
HNRNPH3	bn	KIAA1737
HNRNPH3	bn	CHD2
STAT3	bn	LAMP1
STAT3	bn	TGOLN2
STAT3	bn	MAP3K5
STAT3	bn	RNF24
STAT3	bn	ACTN1
STAT3	bn	IQGAP1
FBXL5	bn	ASAP1
FBXL5	bn	PROK2
C1orf63	bn	LINC00189
C1orf63	bn	ATXN7
MAGED1	bn	RIMS3
MAGED1	bn	SUMF2
LONP1	bn	FIZ1
PINK1	bn	MLXIP
PINK1	bn	ATG9A
PINK1	bn	MAP1LC3B
PINK1	bn	MAOA
PINK1	bn	GFOD2
PINK1	bn	ZFAND3
PINK1	bn	GDE1
PINK1	bn	PNPLA2
STAG2	bn	EVI2A
STAG2	bn	RAB2A
STAG2	bn	KRCC1
SYNCRIP	bn	MYCBP2
SYNCRIP	bn	LUZP1
ABI1	bn	YTHDF3
ABI1	bn	GNG2
EHD1	bn	MIIP
GABARAPL2	bn	SNX3
GABARAPL2	bn	ZRANB1
AQP1	bn	BRD4
COL18A1	bn	SLC19A1
UBN1	bn	C14orf159
UBN1	bn	SSH2
UBN1	bn	FGD3
UBN1	bn	NCOA3
UBN1	bn	SNAP23
GLOD4	bn	PHC1
GBA	bn	SLC38A10
IFRD2	bn	ORMDL3
NHP2	bn	FARS2
NHP2	bn	TRAPPC6A
NHP2	bn	WBSCR22
NHP2	bn	LSM4
NHP2	bn	RMND5B
NHP2	bn	AES
NHP2	bn	C19orf53
NHP2	bn	CIRH1A
NHP2	bn	MIS18A
UBA3	bn	ATP2C1
ASPH	bn	VAPA
ASPH	bn	C7orf53
USP10	bn	CCDC126
CLNS1A	bn	ATXN10
CLNS1A	bn	NAP1L1
CLNS1A	bn	MKI67IP
AKR1C3	bn	IGFBP7
CYB561	bn	IL12RB2
GPM6B	bn	TMEM111
NDUFAF3	bn	PTGIR
NDUFAF3	bn	PRKAR1B
NDUFAF3	bn	PITPNM2
RABGGTB	bn	UPF3B
IRS2	bn	SAP30
IRS2	bn	CDK5R1
IRS2	bn	MDM2
FOS	bn	EPOR
PIM1	bn	ZKSCAN5
PIM1	bn	XPO7
MEF2C	bn	IRF8
MEF2C	bn	OPN3
MEF2C	bn	ZFHX3
EXTL3	bn	C15orf37
EXTL3	bn	G6PD
EXTL3	bn	EMR3
EXTL3	bn	NLRX1
EXTL3	bn	PANX2
WDR45	bn	GLUL
EMG1	bn	OR52K3P
OGT	bn	CENPC1
OGT	bn	HNRNPA3
OGT	bn	CCDC111
SORBS3	bn	ALDOC
SORBS3	bn	C11orf49
SMC3	bn	HNRNPR
SMC3	bn	SMEK1
NAB1	bn	FMR1
NAB1	bn	ZFX
NAB1	bn	PRDM1
ISCA1	bn	MSANTD3
ISCA1	bn	GCLC
ISCA1	bn	ABCC4
ISCA1	bn	3-Mar
FAM208A	bn	USPL1
FAM208A	bn	PDE8A
FAM208A	bn	PPWD1
FAM208A	bn	ZNF75D
FAM208A	bn	LNPEP
CDC42EP3	bn	SLCO4C1
PPM1B	bn	GLCCI1
HBS1L	bn	CLEC2D
POLR1C	bn	CCT3
POLR1C	bn	ADSL
POLR1C	bn	MTCP1NB
POLR1C	bn	ALKBH2
PLAGL1	bn	HYMAI
PLAGL1	bn	RERE
ADCY3	bn	CENPO
PRKRIR	bn	ERLEC1
PRKRIR	bn	ZNF614
NOP16	bn	HCST
PSIP1	bn	FOXO1
PSIP1	bn	SMC5
PSIP1	bn	CNST
PSIP1	bn	ZCCHC7
PSIP1	bn	LOC653501
PSIP1	bn	NPHP3
SIAH2	bn	ACHE
SIAH2	bn	MAP2K3
SIAH2	bn	PBX1
SIAH2	bn	TFDP1
SIAH2	bn	NFIA
MAF	bn	ELOVL4
MED21	bn	FBXO8
MED21	bn	FAM107B
MED21	bn	ARIH2
EPHX2	bn	GAL3ST4
EPHX2	bn	TSPY26P
ANXA3	bn	LMNB1
ANXA3	bn	MMADHC
ANXA3	bn	CYSTM1
ANXA3	bn	ALDH1A2
FAM190B	bn	APPL1
DDIT3	bn	CASP8
DPM2	bn	RAD23A
DPM2	bn	IGF2
DPM2	bn	WDR45
DPM2	bn	FZR1
DPM2	bn	PDK2
DPM2	bn	TOLLIP
DPM2	bn	MCOLN1
DPM2	bn	MAF1
DPM2	bn	TMEM86B
DPM2	bn	PPP2R5B
ME2	bn	HHEX
TRAPPC10	bn	LOC284926
IFI35	bn	BST2
IFI35	bn	FBXO6
IFI35	bn	RNF213
BTAF1	bn	ZBED5
BTAF1	bn	ZNF138
PHKA2	bn	MUSTN1
SYNE1	bn	SYNE2
SYNE1	bn	PTPN22
DUSP5	bn	L3MBTL4
ENTPD1	bn	LOC100507404
TMX1	bn	NEK4
TMX1	bn	COMMD10
TMX1	bn	PLDN
SNRK	bn	STK17A
SNRK	bn	GRAMD1C
SNRK	bn	METTL4
SNRK	bn	PPP2R2D
SNRK	bn	HEATR5A
SNRK	bn	PWWP2A
SNRK	bn	LOC286052
UTP3	bn	LAIR1
UTP3	bn	NOP14-AS1
TNFSF12	bn	ITSN1
CDR2	bn	MLLT11
BAIAP2	bn	FLJ90757
PLEKHB1	bn	GPA33
PLEKHB1	bn	NOSIP
PLEKHB1	bn	TCEA3
PLEKHB1	bn	RNF157
CFLAR	bn	CD97
CFLAR	bn	FPR1
DPAGT1	bn	RRN3P2
SMYD5	bn	MPI
SMYD5	bn	LSR
SMYD5	bn	ZNF506
SMYD5	bn	AP4S1
SMYD5	bn	PCNXL2
HDGFRP3	bn	MERTK
HDGFRP3	bn	TM6SF1
HDGFRP3	bn	MBOAT1
HDGFRP3	bn	CNEP1R1
APOL1	bn	SECTM1
APOL1	bn	AFF1
INSIG2	bn	MBNL1
INSIG2	bn	PTBP2
ACOX1	bn	GBE1
ACOX1	bn	SIRPB1
ACOX1	bn	MANSC1
GATA3	bn	EPHA4
TST	bn	SPINT1
MCCC2	bn	TP53
MCCC2	bn	ZMYM3
OSBPL3	bn	MACF1
OSBPL3	bn	STX2
