source	interaction_type	target
TRIM13	bn	UVSSA
TRIM13	bn	NFYC
TRIM13	bn	SYK
SCML4	bn	GRAMD3
MIR4500HG	bn	TPTEP1
LOC692247	bn	WDR27
MLLT3	bn	SEC14L1P1
MLLT3	bn	NPCDR1
MLLT3	bn	MCM3AP-AS1
EME2	bn	EIF4A1
SLC6A16	bn	KIAA0754
RPL35	bn	HINT1
RPL35	bn	MRPS33
RPS5	bn	ITM2A
RPS5	bn	RPLP0
RPS5	bn	RPL35A
RPL34	bn	RPL31
RPL34	bn	RPL36A
RPL34	bn	RPL22L1
RPL34	bn	LOC100506365
RPL9	bn	RPS15A
RPL9	bn	RPS3A
ERH	bn	LOC100506980
ABCF1	bn	WDR5
ZNF146	bn	METTL18
ZNF146	bn	VEZT
ILF2	bn	CKS1B
ILF2	bn	FABP5
ILF2	bn	SRSF3
ILF2	bn	ZNF259
NPM1	bn	NAE1
NPM1	bn	ACYP1
NPM1	bn	URI1
NPM1	bn	MOCS2
NPM1	bn	DPH5
NPM1	bn	YAE1D1
NPM1	bn	LOC93622
NPM1	bn	TARSL2
NPM1	bn	FLJ33630
NPM1	bn	ARL10
HSP90AB1	bn	HYOU1
HSP90AB1	bn	ELP4
HSP90AB1	bn	BAZ1B
HSP90AB1	bn	KDM1A
HSP90AB1	bn	NXT1
CNPPD1	bn	C4A
GUK1	bn	AK1
GUK1	bn	AHSP
GUK1	bn	RILP
TMED2	bn	COX7A2L
TMED2	bn	CNIH
TMED2	bn	GABPB1
TMED2	bn	RBM3
TMED2	bn	MED21
EIF3A	bn	HTATSF1
EIF3A	bn	OSBPL3
EIF3A	bn	ATRN
EIF3A	bn	RDH11
EIF3A	bn	WDR11
EIF3A	bn	ZCCHC8
EIF3A	bn	SAR1B
EIF3A	bn	HPS3
EIF3A	bn	AP4E1
HSP90B1	bn	STT3A
PRKAR1A	bn	CNOT8
PRKAR1A	bn	CRNKL1
PRKAR1A	bn	ZYG11B
PRKAR1A	bn	RNF141
NCL	bn	ILF2
NCL	bn	HSP90AB1
NCL	bn	PREP
NCL	bn	UTP20
NCL	bn	CASP6
NCL	bn	CKAP5
NCL	bn	POGK
NCL	bn	DET1
NCL	bn	USP40
AP2B1	bn	LOC100131262
AP2B1	bn	HEBP1
LOC100506732	bn	SRRM1
LOC100506732	bn	ARL6IP1
LOC100506732	bn	SNRNP27
LOC100506732	bn	RAP2B
LOC100506732	bn	SYNC
LOC100506732	bn	LIN7C
WARS	bn	PSME2
WARS	bn	ASPHD2
WARS	bn	FAM225A
PHB	bn	CCDC167
PHB	bn	CRIM1
TOMM20	bn	LOC100506948
TOMM20	bn	GRSF1
TOMM20	bn	FAM3C
TOMM20	bn	PRPS2
TOMM20	bn	AKAP7
TOMM20	bn	TCF12
TOMM20	bn	CRY1
TOMM20	bn	MAK16
TOMM20	bn	SUN1
TOMM20	bn	CAMK2D
TOMM20	bn	SPICE1
LOC100505813	bn	TREML1
LOC100505813	bn	SELP
LOC100505813	bn	ITGB5
LOC100505813	bn	GUCY1A3
CD81	bn	SMAGP
HSPA9	bn	ST6GAL1
HSPA9	bn	R3HDM1
HSPA9	bn	MRPL19
HSPA9	bn	LCMT2
HSPA9	bn	EPM2A
HSPA9	bn	RRP1B
HSPA9	bn	BCOR
HSPA9	bn	RCC2
HSPA9	bn	SAAL1
DDX24	bn	MORC2
DDX24	bn	TNFAIP8L1
EEF1B2	bn	C4orf46
EEF1B2	bn	IPO5
EEF1B2	bn	LOC728554
EEF1B2	bn	GAS5
EEF1B2	bn	SNHG8
EEF1B2	bn	C8orf40
LITAF	bn	MARCKS
GOT2	bn	ZMYM3
GOT2	bn	TRIM44
GOT2	bn	FAM86C1
GOT2	bn	CSRP2BP
GOT2	bn	LOC100505639
RPL7	bn	RPS24
RPL7	bn	RPL23
RPL7	bn	EIF3E
