source	target
ANKMY2	7-Sep
ANKRD10	FRY
ANKRD27	GPATCH1
ANKRD36B	AI983904
ANKRD36B	ANKRD36
ANKRD46	BCOR
ANKRD46	OXR1
ANKRD46	PGRMC2
ANKRD46	RNF139
ANKRD46	SPAG1
ANKRD57	10-Sep
ANKS1A	ZNF318
ANO1	ITGB5
ANXA1	EREG
ANXA1	GPR87
ANXA1	MDFIC
ANXA1	MET
ANXA1	MYOF
ANXA10	UPK1B
ANXA13	ASGR2
ANXA13	FABP1
ANXA13	REG3A
ANXA2	ANXA2P2
ANXA2	ANXA3
ANXA2	ANXA5
ANXA2	CLIC1
ANXA2	ITGB4
ANXA2	KRT19
ANXA2	LAMC2
ANXA2	NDUFB11
ANXA2	NPTN
ANXA2	PRKCDBP
ANXA2	SQRDL
ANXA3	ITPKB
ANXA3	KLF6
ANXA4	HIST1H4J
ANXA7	DNAJB12
AOAH	CD72
AOC3	ADARB1
AOC3	GHR
AOC3	MYH10
AOC3	PLSCR4
AOC3	RAI2
AOC3	SYNPO
AOC3	VGLL3
AP1G1	PSMD7
AP1G2	OSGEP
AP1M2	STAP2
AP1S1	PDAP1
AP2B1	CORO1C
AP2B1	CPD
AP2B1	EIF5
AP2M1	BID
AP2M1	IFT122
AP2M1	PAK2
AP2S1	BAX
AP2S1	TFPT
AP3D1	GTF2F1
AP3S2	DET1
AP3S2	PEX11A
APBB2	PTPRG
APEH	ACY1
APEH	ALAS1
APEH	DNAJB12
APEH	IFRD2
APEH	SLC25A20
APEX1	NGDN
APEX1	OSGEP
APEX1	OXA1L
APH1A	F11R
API5	BRCC3
API5	HIPK3
API5	LIN7C
API5	UEVLD
APIP	EXT2
APITD1	TSPYL5
APLP2	ACAD8
APLP2	ARHGEF12
APLP2	THYN1
APLP2	UXS1
APOBEC3A	APOBEC3B
APOBEC3C	DDB2
APOBEC3G	APOBEC3C
APOBEC3G	CD40
APOBEC3G	NELF
APOC1	APOC2
APOC1	APOE
APOC1	CHIT1
APOC1	HAMP
APOC1	LIPA
APOC3	VTN
APOH	PRKCA
APOL2	APOL1
APOL3	IDO1
APOL3	PSMB10
APOLD1	ADAMTS9
APOM	APOB
APOM	CYP2B6
APOM	SLC28A2
APOO	PNPLA4
APOO	PRDX4
APOO	TIMM17B
APOOL	BCKDHB
APOOL	BLVRA
APOOL	FER1L4
APOOL	TAF9B
APPBP2	BF431965
APPBP2	CGRRF1
APPBP2	NBEA
APPBP2	SMARCE1
APPBP2	TNKS
APPL1	RYBP
APPL1	SETD2
APPL1	TOP2B
APRT	DAK
APRT	FAM96B
APRT	RPL13
APTX	NDUFB6
APTX	UBAP1
APTX	UBAP2
AQP3	KIF16B
AQP3	RBP1
AQP4	CLIC5
AQP4	SCN1A
AQP4	STOM
AQP5	CREB3L1
AQP5	FAIM2
AQP9	IL1RN
AQP9	KCNJ2
AQP9	SLC11A1
AQR	DPP8
ARCN1	DPAGT1
ARCN1	SNX19
