source	target
LEPRE1	SLC29A1
LEPRE1	MSC
LEPRE1	ARMCX2
TMEM125	CLRN3
TMEM125	CISD3
TMEM125	PRRG2
C1orf210	C1orf172
C1orf210	OAF
C1orf210	ISX
TIE1	CD34
TIE1	CLEC14A
CDC20	AURKB
CDC20	TK1
SZT2	NAA40
SZT2	POLE
SZT2	LOC220729
PTPRF	CASZ1
PTPRF	HECTD3
PTPRF	CCDC85C
PTPRF	PEX26
PTPRF	LARGE
KDM4A	AMBRA1
KDM4A	COG1
KDM4A	UGT8
KDM4A	ARHGEF9
TMEM53	IL32
TMEM53	CCL15
C1orf228	UBXN11
C1orf228	LMF1
C1orf228	MIR155HG
C1orf228	LCN10
KIF2C	NUF2
KIF2C	CDCA5
KIF2C	FANCI
KIF2C	PLK1
KIF2C	TYMS
KIF2C	HJURP
PLK3	CLCF1
HECTD3	SOX13
HECTD3	C19orf54
ZSWIM5	PAQR5
ZSWIM5	COPZ2
ZSWIM5	TMEM252
ZSWIM5	TRPM6
IPP	FBXL4
PIK3R3	BACE2
PIK3R3	LPL
TSPAN1	RNF186
TSPAN1	TMEM54
TSPAN1	SQRDL
TSPAN1	PLAC8
TSPAN1	ASS1
RAD54L	CHTF18
RAD54L	RECQL4
LRRC41	ALG1
LRRC41	UBE2MP1
FAAH	ECHDC2
FAAH	SPIRE2
FAAH	PCYT2
FAAH	NUDT16
FAAH	HDHD3
EFCAB14	FAM168B
EFCAB14	SREBF2
EFCAB14	AFAP1
EFCAB14	PIK3R1
PDZK1IP1	SORD
PDZK1IP1	PI3
RNF11	SGPL1
TTC39A	MANEAL
TTC39A	ITLN1
TTC39A	DNAJC12
TTC39A	RBP4
TTC39A	CREB3L1
TTC39A	FLJ27352
TTC39A	NQO1
TTC39A	FHL2
TTC39A	FOXA2
TTC39A	AGR2
TTC39A	CA1
OSBPL9	TMLHE
CC2D1B	GTPBP2
ZYG11B	JMY
ECHDC2	ANO9
ECHDC2	LTK
SCP2	GIPC2
SCP2	SEPHS2
SCP2	TOB1
SCP2	SLMO2
SCP2	GSR
SCP2	PPP2CB
TMEM48	JOSD2
TMEM48	GINS1
TMEM48	POT1
TMEM48	ZNF367
ACOT11	CBLC
ACOT11	SEC14L2
TTC22	SUCLA2
USP24	MGA
USP24	CHD2
USP24	FAM208A
USP24	DZIP3
PPAP2B	NID1
PPAP2B	FZD1
DAB1	SLC7A7
DAB1	CAPN13
OMA1	ZNF816
OMA1	ARMC8
MYSM1	C11orf30
MYSM1	C17orf85
JUN	DUSP1
JUN	SGK1
HOOK1	KIAA1804
CYP2J2	SLC13A2
CYP2J2	RETSAT
INADL	PHACTR4
USP1	MSH2
USP1	DEK
ATG4C	ING3
ATG4C	SH3BGRL
RAVER2	NEK3
RAVER2	SELM
JAK1	USP6NL
JAK1	SMG8
JAK1	TNS3
JAK1	CAMSAP1
PDE4B	IL10RA
PDE4B	SLC2A3
PDE4B	SAMSN1
MIER1	SLC25A40
SLC35D1	C1QA
SLC35D1	DSC2
SLC35D1	TYROBP
SLC35D1	TGFA
SLC35D1	P2RY1
SLC35D1	MIER3
GNG12	PELI2
GNG12	ACOX1
GNG12	HPGD
WLS	KREMEN1
WLS	TRAF3IP2
LRRC40	PEX3
SRSF11	ZMYM6
SRSF11	ZRANB2
SRSF11	PRPF38B
SRSF11	TIA1
SRSF11	ALG13
ANKRD13C	DOCK7
CTH	AGPAT9
ZRANB2	SETD5-AS1
FPGT	MAP4K3
TYW3	TMEM5
PIGK	CPE
USP33	GXYLT1
USP33	KLHDC10
FUBP1	EXOSC10
FUBP1	WDR3
FUBP1	DHX15
FUBP1	FIP1L1
FUBP1	POLR2B
FUBP1	TNFRSF10A
FUBP1	MTMR1
GIPC2	ADH6
GIPC2	TSPAN12
GIPC2	RNF128
IFI44L	IFI6
IFI44L	HERC5
IFI44	IFI44L
IFI44	RSAD2
LPHN2	DNAJB4
LPHN2	CFH
LPHN2	IL1R1
PRKACB	TMEM123
PRKACB	ATP2A3
PRKACB	KRCC1
PRKACB	FAM117B
PRKACB	RAMP1
PRKACB	SMIM14
PRKACB	CASD1
PRKACB	WWP1
PRKACB	OXR1
PRKACB	CHIC1
PRKACB	ITM2A
SSX2IP	AP1S3
SSX2IP	TMEM200A
MCOLN2	KIAA0226L
MCOLN2	DUSP2
DDAH1	AGMAT
DDAH1	KCNQ1
DDAH1	TRIL
DDAH1	MEST
DDAH1	SH2D4A
DDAH1	HMGN5
CYR61	EGR1
ODF2L	SLC38A6
ODF2L	FENDRR
ODF2L	UTRN
ODF2L	FKBP14
CLCA1	HAPLN1
CLCA4	TSPAN1
SH3GLB1	PID1
SH3GLB1	MRPL3
SH3GLB1	MAGT1
PKN2	CPEB2
PKN2	MYO6
RBMXL1	ARHGAP19
RBMXL1	ENOX2
GBP1	GBP1P1
GBP1	FCGR3A
GBP1	IL15RA
GBP1	BATF2
GBP1	LILRB2
GBP1	APOL2
GBP1	APOL1
GBP1	CXCL10
GBP1	IRF1
GBP1	CD274
GBP2	IFIT3
GBP4	SDC3
GBP4	NEXN
GBP4	TRAFD1
GBP4	EPSTI1
GBP4	NLRC5
GBP4	CXCL11
GBP4	BTN3A3
GBP4	TAP1
GBP5	FBXO6
GBP5	SLAMF7
GBP5	CLEC7A
GBP5	TNFAIP2
GBP5	PSTPIP2
GBP5	STAT1
GBP5	STX11
GBP5	IDO1
GBP1P1	GBP2
GBP1P1	GCH1
LRRC8B	CEP78
LRRC8B	AMMECR1
LRRC8C	ST8SIA4
CDC7	CDK2
TGFBR3	JAM2
TGFBR3	PROS1
GFI1	RFX5
EVI5	CEP57L1
TMED5	C6orf211
TMED5	ZNRF2
LOC100131564	CPSF7
DR1	SDE2
DR1	ELF1
DR1	SPOPL
FNBP1L	PDE3A
FNBP1L	ASAP2
FNBP1L	EPB41L5
FNBP1L	MTUS1
BCAR3	MXI1
GCLM	SLC2A13
ABCD3	PAFAH2
ABCD3	HOOK1
ABCD3	TMEM135
ABCD3	KIF21A
ABCD3	PLS1
ABCD3	PTPN3
TMEM56	MIER3
RWDD3	RPS4Y1
PTBP2	CAMKK1
