source target
CES3 COQ9
CES3 AGFG2
USP24 XPOT
USP24 GPRIN3
USP24 LOC100506290
PLEKHA2 AVL9
PPM1L ZNF177
NFE2 NEDD4L
NFE2 ZFHX3
ME2 TMCO1
ME2 SEPT7
ME2 STAU1
DOPEY1 THAP9
DOPEY1 RGMB
CD36 GCLM
SRSF4 LMLN
SRSF4 USP47
SRSF4 PGM5-AS1
OK/SW-CL.36 ACOT8
CPT1A KHSRP
RANBP9 ORC5
SRI LOC389831
C6orf120 NIPAL3
C6orf120 ARMCX4
C6orf120 OPA1
C6orf120 LOC285147
ZNF780B RPP30
PPARA ARHGAP18
PPARA BRWD3
PPARA RGCC
SLAMF8 ALOX15B
SLAMF8 C3AR1
SLAMF8 AOAH
SLAMF8 MAP3K12
ANAPC10 CEP192
HOXD10 WFDC3
MDM4 RBM39
MDM4 U2SURP
MDM4 LRPPRC
MDM4 ZNF264
MDM4 KRR1
MDM4 FLJ38717
MDM4 LOC100653004
MDM4 PDGFRA
MDM4 ZNF207
MDM4 SEPT2
MDM4 TNRC6A
MDM4 GCFC1-AS1
MDM4 OSBP
MDM4 BTBD7
MDM4 FAM48A
MDM4 CBR4
MDM4 TMEM150C
MDM4 HCRP1
MDM4 GOPC
YES1 ANXA2R
HSPBAP1 KLHDC4
HSPBAP1 TRIM27
HSPBAP1 SCAND2
PIGZ PADI2
PIGZ KIAA1984
PIGZ NEXN
CCR1 TNFAIP3
ESRP1 BTBD3
ESRP1 ACSM3
ESRP1 CD9
EVL KRAS
MYH11 TBXA2R
ZBTB43 MBNL2
ZBTB43 LPP
ZBTB43 RAB6A
ZBTB43 PRPF40A
ZBTB43 CSNK1A1
DET1 ARID1B
SLC6A8 LOC653562
EIF4EBP1 NSDHL
EIF4EBP1 NENF
EIF4EBP1 LMNA
EIF4EBP1 H2AFX
RRN3 CAPN1
RRN3 RALGAPA2
HOXB3 HOXB7
TIA1 TRPA1
TIA1 CCDC146
CES2 ESR1
CES2 HNF4A
CES2 MARVELD3
CES2 SPINT1
PAX5 POU2F2
SLAMF9 SNAI1
C9orf91 COL14A1
C9orf91 MAGI2-AS3
C9orf91 PSMG1
CRLF3 MAFB
CRLF3 WHAMMP2
CRLF3 RBMS1
CRLF3 PKHD1L1
CRLF3 GIMAP2
CRLF3 NRN1
CRLF3 ZNF532
CRLF3 LIX1L
HSD3B1 PLCB1
HSD3B1 OSR2
MAP3K15 ICMT
MAP3K15 ERGIC2
ZNF224 LTB4R
AKAP5 COG5
MMP15 CDK11A
BEST1 TMEM132A
COMMD4 NDUFV3
TDP1 LOC642361
TDP1 CDRT4
TDP1 CCDC88C
LOC729852 KIAA0564
RICTOR DSERG1
RICTOR LRRC37A3
RICTOR CBX5
RICTOR DHX32
RICTOR SNRPA1
C1orf123 PPWD1
C1orf123 SNX1
C1orf123 LOC100129250
C1orf123 SRRD
C14orf43 RFTN2
LOC440288 LINC00476
ANO7 GGT7
ANO7 RAP1GAP
ANO7 KIAA1324L
ADH1C LOC145837
CTSL1 IL3RA
PPID GPX7
PPID TMCC3
LOC100506268 LOC100506713
ANKRD17 ZBTB38
LOC100505783 EPB41L4A-AS1
SERF1A HLA-DRB1
COX11 TSPYL2
COX11 FBXO22
COX11 NUDT12
CEP55 C1orf135
CEP55 SORD
CEP55 NCAPG2
CEP55 TROAP
CEP55 KIF11
CEP55 IGF2BP3
ITGA3 MYO7B
ITGA3 RNF43
WARS MKI67
WARS FCN1
WARS PLEKHO2
WARS HSPA6
WARS BATF2
WARS ECM1
CDKN2AIP ITGB8
CDKN2AIP NPIPL3
MRPS18A CALR
LOC100233156 LOC389834
SOS2 WEE1
SOS2 CNIH4
SOS2 SERINC2
SOS2 FOXN3
SOS2 DHX9
SOS2 ZNF252P
SOS2 PDPK1
KDM8 CD82
RHBDF1 SLCO2A1
RHBDF1 LINC00543
RHBDF1 MAPK7
SQLE LDLR
PTP4A2 EPB41L5
PTP4A2 SNAP29
PTP4A2 NCOA3
PTP4A2 MYO1G
PTP4A2 MALAT1
PTP4A2 PHF17
PTP4A2 HOMER1
PTP4A2 QTRTD1
CLEC7A PYY
CNTN4 MYL4
CNTN4 PREX2
MOXD1 PSORS1C1
MOXD1 TACC1
MOXD1 NFATC2
IPO5 FSBP
IPO5 E2F7
IPO5 THAP10
IPO5 PRKDC
NSUN5 OFD1
NSUN5 PARP6
NSUN5 PQBP1
FBXO38 GPBP1L1
FBXO38 RPS6KB1
FBXO38 PPP1R10
FBXO38 HSPH1
FBXO38 STAG2
FBXO38 ZNF281
FBXO38 NAA25
FBXO38 CLINT1
TIPRL SOCS2
TIPRL GLRX3
TIPRL UBE3C
TIPRL SRSF6
TIPRL INSIG1
APOC2 SCAMP5
P2RX5 CD1C
P2RX5 IKZF1
P2RX5 FBXO41
P2RX5 CD19
P2RX5 RASGRP2
P2RX5 STAG3
P2RX5 IKZF3
P2RX5 ZNF589
P2RX5 C7orf44
P2RX5 TESPA1
P2RX5 FAM159A
MAP7 CTNNA1
CDK14 CD180
CDK14 LSAMP
SIGIRR GNS
SLC4A8 FAM184A
TECPR2 BCL2L14
CENPBD1 MAPKAPK3
LYST ATG3
CEP44 LOC100131067
MAP4K1 LOC100131096
C11orf67 RARRES1
C11orf67 DFFA
C11orf67 HMOX1
BCKDHB MGST1
BCKDHB HRSP12
BCKDHB CCDC34
BCKDHB API5
FUT10 RNF8
SYTL1 LEF1-AS1
AGPS SPRY2
AGPS GMFB
AGPS TAOK1
AGPS CTTNBP2
AGPS SOCS5
AGPS RIT1
AGPS ZC3HAV1L
AGPS LIMCH1
MAP3K2 SERPINB6
MAP3K2 ARID2
MAP3K2 TGOLN2
MGST1 ALG14
UBXN7 APC
UBXN7 KIAA2018
GJA9 HLA-DQB2
DKFZP434I0714 ORAOV1
IL13RA2 TMEM158
RBM14 LOC100506032
RBM14 PTK2
RBM14 CBFA2T2
RPGR ZNF354A
RPGR FAM208B
RPGR MIR17HG
MAP4 LOC100652751
SOX13 ARMC7
DHX30 LOC389458
MCL1 ARL5B
MCL1 P4HA1
MCL1 AREG
PLA2G4A VCP
PTPN11 ZCCHC9
LGR5 MAMDC2
CXCL10 CEP19
NLRP1 PARVG
NLRP1 POU6F1
FAIM2 ANKDD1A
FCGR3B FPR1
FCGR3B S100A8
FCGR3B KCNJ15
FCGR3B CXCR2
FCGR3B LAIR2
FCGR3B MNDA
DDC DHRS11
DDC CDH3
MTFMT C3orf14
MTFMT MALT1
RAMP2 RAI14
CTHRC1 LOC645638
CTHRC1 LDHC
SPATA20 NOL3
SCAMP1 ZDHHC13
SCAMP1 SF1
SCAMP1 PPFIA4
SCAMP1 C8orf44-SGK3
SCAMP1 TANC1
CETP APOE
ZNF512 PTPN2
ZNF512 ITPR2
ZNF512 ZCCHC11
CMTM3 LINC00339
CMTM3 IL2RB
CMTM3 DNMT3A
MSANTD3 ZDHHC2
CSF3R CEACAM3
CSF3R EMILIN2
CSF3R EMR3
TRIM52 SUGP2
TRIM52 ZNF747
MIR600 POMZP3
FSCN1 USP30
SPRY2 GFM1
PLEKHB1 PRSS21
AMD1 LGALS8
AMD1 CHAC2
AMD1 TMEM48
AMD1 RALGPS2
AMD1 ANLN
BHLHE41 CELSR3
