source	target
SPTY2D1	MTF1
SPTY2D1	RP2
STARD3NL	ANXA1
STK38L	AGPS
STX3	ABHD5
STX3	PPP4R1
STX3	GK3P
SUCO	CLCN5
SYNCRIP	HNRNPR
TAB2	ZNF217
TANC1	ZSWIM6
TANC1	MID1
TAX1BP1	RBBP8
TBK1	IFNGR1
TBK1	MCMBP
TBK1	RASGEF1B
TEAD1	ENAH
TFDP1	SFMBT1
TGFA	TMEM164
TGFA	HRH1
TGFA	EEPD1
TGFBR1	CYLD
TGFBR1	HIAT1
TIAF1	LDLRAD2
TIMP2	SIRPA
TIMP2	PSAP
TIMP2	LOXL2
TIMP2	C3AR1
TIPARP	ERLIN1
TM7SF3	BMP4
TM9SF4	PIGO
TMED5	ZNRF2
TMEM110	PSME4
TMEM131	ABLIM1
TMEM131	AFTPH
TMEM164	LARGE
TMEM164	ERGIC1
TMEM30A	TMEM2
TMEM30A	TRAM1
TMEM30A	PGM2
TMEM30A	ATP6V1A
TMEM30A	B3GNT2
TMOD3	TRIOBP
TNFRSF10D	RARRES3
TOPORS	ZNF765
TOPORS	RBBP9
TOPORS	PPP1R3D
TRAF3	FRMD8
TRAPPC13	NFXL1
TRAPPC13	FBXO22
TRAPPC8	SMURF2
TRIM34	RBM43
TRUB1	TFAM
TRUB1	PPIP5K2
TRUB1	LEMD3
TSPAN31	CPQ
TUBGCP4	ATXN2
TXNRD1	TES
UBE2Q2	TMEM47
UBE2Q2	RCN2
UBE4A	ORC2
UBE4A	FOXJ3
UBE4A	RBM41
UBQLN1	BTBD1
UBR2	CCP110
UBR2	SPAG9
UBR2	TRANK1
UBR2	SP1
USP12	CAB39
USP12	OXSR1
USP12	RPS6KA5
USP9X	UBR2
VAMP7	INSIG2
VAMP7	COL4A3BP
VAMP7	CCDC126
VAMP7	COPS2
VPS4B	CAB39
VPS4B	PIK3CB
VPS4B	ZNRF2
VPS4B	SLC25A24
VPS4B	GFM1
WLS	TRAF3IP2
WLS	KREMEN1
YEATS2	FKBP15
ZDHHC13	CCDC112
ZDHHC20	SCAMP1
ZDHHC20	CSNK1A1
ZDHHC20	HNRPLL
ZDHHC20	BNIP3L
ZDHHC20	IMPACT
ZDHHC20	TMTC3
ZDHHC20	ARL15
ZDHHC20	MFAP3
ZMYND8	EGFR
ZNF175	USP42
ZNF175	THAP6
ZNF367	TTK
ZNF417	ZNF587
ZNF417	GABPB2
ZNF417	GNL3L
ZNF417	MAVS
ZNF45	ZSCAN12
ZNF45	ZSCAN25
ZNF45	TRAF3
ZNF592	IDS
ZNF592	XYLT1
ZNF592	GPATCH1
ZNF592	GTF2I
ZNF592	TADA2B
ZNF800	ABHD13
ZNF800	PPP1R2P3
ZNF800	ZNF184
ZNF800	RNF6
ZNF800	GPR34
ZSCAN12	LOC100132707
ZSCAN12	TRIM34
ZSWIM6	MCTP2
ZSWIM6	TBC1D12
ZW10	DHX29
